word,ipa
cause,kəz
cuse,kjuz
kay,keɪ
n,ən
s,ɛs
tis,tɪz
a,eɪ
as,eɪz
aase,ɑs
ab,æb
ababa,əbɑbə
aback,əbæk
abare,ɑbɑɹi
abash,əbæʃ
abba,æbə
abbas,əbɑs
abbe,æbi
abedi,əbɛdi
abela,ɑbɛɫə
abele,əbɛɫ
abeln,æbɪɫn
abend,æbɛnd
abet,əbɛt
abhor,æbhɔɹ
abide,əbaɪd
abila,ɑbiɫə
able,eɪbəɫ
abler,eɪbɫɝ
abney,æbni
abos,ɑboʊz
abode,əboʊd
abood,əbud
abor,əbɔɹ
aborn,əbɔɹn
abott,əbɑt
aboud,ɑbud
abreu,əbɹu
abril,əbɹɪɫ
abs,æbz
abso,æbsoʊ
abt,æbt
abts,æbts
abuse,əbjuz
abut,əbət
abuzz,əbəz
abzug,æbzəɡ
ac,eɪsi
acary,ækɝi
accel,əksɛɫ
accor,ækɔɹ
accra,ɑkɹɑ
accu,ækju
ace,eɪs
aced,eɪst
achee,ətʃi
achoo,ɑtʃu
achy,eɪki
acids,æsədz
acker,ækɝ
acmes,ækmiz
acog,əkɔɡ
acree,əkɹi
acrey,ækɹi
acrid,ækɹɪd
acts,ækts
actel,æktɛɫ
actin,æktən
actor,æktɝ
acts,ækts
acuff,əkəf
ads,ædz
adage,ædɪdʒ
adair,ədɛɹ
adak,ədæk
adams,ædəmz
adapt,ədæpt
aday,ədeɪ
added,ædəd
addeo,ɑdioʊ
adds,ædz
addy,ædi
ade,eɪd
adel,ədɛɫ
aden,eɪdən
adey,eɪdi
adham,ædhæm
adia,ɑdiə
adieu,ədu
adine,ɑdini
adisq,ədɪsk
adlai,ɑdɫɑi
adley,ædɫi
admen,ædmən
admit,ədmɪt
adney,ædni
adopt,ədɑpt
ador,ɑdɔɹ
adra,eɪdɹə
ads,ædz
adss,æds
adtec,ædtɛk
adult,ædəɫt
advo,ædvoʊ
adz,ædz
aegis,idʒəs
aer,ɛɹ
aesop,isɑp
afar,əfɑɹ
affix,əfɪks
afire,əfaɪɹ
afmed,æfmɛd
afoot,əfʊt
afoul,əfaʊɫ
afro,æfɹoʊ
aft,æft
ag,eɪɡi
aga,ɑɡə
again,əɡeɪn
agan,eɪɡən
agape,əɡeɪp
agard,æɡɝd
agasp,əɡæsp
agco,æɡkoʊ
ager,eɪdʒɝ
agfa,æɡfə
aggie,æɡi
aggy,æɡi
agin,ɑdʒin
agip,eɪɡɪp
agler,æɡɫɝ
aglo,əɡɫoʊ
agna,æɡnɑ
agnew,æɡnu
agnor,æɡnɝ
ago,əɡoʊ
agora,æɡɝə
agri,æɡɹi
agro,æɡɹoʊ
ah,ɑ
