albertina,ɑɫbɝtinə
albertine,æɫbɝtin
alejandro,ɑɫeɪhɑndɹoʊ
alejandro,ɑɫeɪjɑndɹoʊ
alexander,æɫəɡzændɝ
alexander,æɫɪɡzændɝ
alexandra,æɫɛɡzændɹə
alexandra,æɫɪɡzændɹə
anastasia,ænəsteɪʒə
angelique,ændʒɛɫik
annabelle,ænəbəɫ
argentina,ɑɹdʒəntinə
augustine,ɑɡəstin
augustine,ɔɡəstin
bernadine,bɝnədin
bridgette,bɹɪdʒɪt
bridgette,bɹɪdʒit
broderick,bɹɑdɝɪk
broderick,bɹɑdɹɪk
carmelita,kɑɹməɫitɑ
cassandra,kəsændɹə
catharine,kæθɹɪn
catherina,kɑθɝinə
catherine,kæθɝən
catherine,kæθɝɪn
catherine,kæθɹɪn
celestina,tʃɛɫɛstinə
celestine,tʃɛɫɛstini
charlotte,ʃɑɹɫət
charmaine,ʃɑɹmeɪn
christian,kɹɪstʃən
christian,kɹɪstʃɪn
christina,kɹɪstinə
christine,kɹɪstin
claudette,kɫoʊdɛt
cleopatra,kɫiəpætɹə
cleveland,kɫivɫənd
constance,kɑnstəns
cornelius,kɔɹniɫjəs
cristobal,kɹɪstəbəɫ
demetrius,dɪmitɹiəs
dominique,dɔmɪnik
elisabeth,ɪɫɪzəbɪθ
elizabeth,ɪɫɪzəbəθ
elizabeth,ɪɫɪzəbɪθ
ellsworth,ɛɫzwɝθ
ernestine,ɝnɪstin
ferdinand,fɝdɪnæn
ferdinand,fɝdɪnænd
francesca,fɹæntʃɛskə
francesco,fɹæntʃɛskoʊ
francisco,fɹænsɪskoʊ
francoise,fɹænswɑ
francoise,fɹænswɑz
frederica,fɹɛdɝikə
frederick,fɹɛdɝɪk
frederick,fɹɛdɹɪk
gabriella,ɡɑbɹiɛɫɑ
gabrielle,ɡæbɹiɛɫ
genevieve,dʒɛnəviv
georgette,dʒɔɹdʒɛt
georgiana,dʒɔɹdʒiænə
geraldine,dʒɛɹəɫdin
granville,ɡɹænvɪɫ
guadalupe,ɡwɑdəɫup
guadalupe,ɡwɑdəɫupeɪ
guillermo,ɡiɛɹmoʊ
guillermo,ɡwiɛɹmoʊ
guillermo,ɡwɪɫjɛɹmoʊ
gwendolyn,ɡwɛndəɫɪn
harriette,hæɹiɛt
henrietta,hɛnɹiɛtə
henriette,hɛnɹiɛt
hildegard,hɪɫdəɡɑɹd
jacquelyn,dʒækwɪɫɪn
jacquetta,dʒɑkɛtə
jeannette,dʒənɛt
jefferson,dʒɛfɝsən
johnathan,dʒɑnəθən
johnathon,dʒɑnəθən
josephina,dʒɑsɪfaɪnə
josephina,dʒoʊzəfinə
josephine,dʒoʊsəfin
katharina,kæθɛɹinə
katharine,kæθɹɪn
katherine,kæθɝɪn
katherine,kæθɹɪn
kimberley,kɪmbɝɫi
mackenzie,məkɛnzi
madelaine,mædɪɫeɪn
madeleine,mædəɫɛn
magdalena,mæɡdəɫinə
magdalene,mæɡdəɫin
marcelino,mɑɹtʃɛɫinoʊ
marcellus,mɑɹsɛɫəs
margareta,mɑɹɡɑɹɛtə
margarete,mɑɹɡɝit
margarita,mɑɹɡɝitə
maryalice,mɛɹiæɫəs
michelina,mɪkəɫinə
micheline,mɪʃəɫən
millicent,mɪɫɪsɪnt
nathanael,næθəneɪɫ
nathaniel,nəθænjəɫ
natividad,nətɪvɪdɑd
nicolette,nɪkəɫɛt
parthenia,pɑɹθɛniə
philomena,fɪɫəminə
priscilla,pɹɪsɪɫə
roosevelt,ɹoʊzəvɛɫt
roosevelt,ɹuzəvɛɫt
rosalinda,ɹoʊsɑɫində
rosemarie,ɹoʊzmɝi
salvatore,sæɫvədɔɹ
salvatore,sæɫvətɔɹi
sebastian,səbæstʃən
september,sɛptɛmbɝ
stephania,stɪfæniə
stephanie,stɛfəni
sylvester,sɪɫvɛstɝ
thomasina,tɑmɑsinə
thomasina,θoʊmɑsinə
thomasine,tɑmɑsin
thomasine,tɑmɑsini
thomasine,θoʊmɑsini
valentina,vɑɫɛntinə
valentine,væɫəntaɪn
veronique,vɛɹɑnik
wilhemina,wɪɫhɛminɑ
zachariah,zækɝaɪə
