abe,eɪb
ada,eɪdə
aja,aɪə
ali,ɑɫi
ami,ɑmi
amy,eɪmi
ana,ænə
ana,ɑnə
ann,æn
ara,æɹə
art,ɑɹt
asa,ɑsə
ava,eɪvə
bao,baʊ
bea,bi
bee,bi
ben,bɛn
bev,bɛv
bob,bɑb
bok,bɑk
bud,bəd
chi,kaɪ
chu,tʃu
coy,kɔɪ
dan,dæn
deb,dɛb
dee,di
del,dɛɫ
dia,diə
don,dɑn
dot,dɑt
eda,idə
ela,ɛɫə
eli,iɫaɪ
ema,imə
ena,ɛnə
era,ɛɹə
era,ɪɹə
eva,eɪvə
eva,ivə
eve,iv
fae,faɪ
fay,feɪ
flo,fɫoʊ
gay,ɡeɪ
gil,ɡɪɫ
gus,ɡəs
guy,ɡaɪ
hal,hæɫ
han,hæn
han,hɑn
hee,hi
hue,hju
hui,huɪ
hwa,hwɑ
hye,haɪ
ian,iən
ida,aɪdə
ike,aɪk
ila,iɫə
ina,inə
ira,aɪɹə
ira,aɪɑɹeɪ
isa,isə
iva,ivə
ivy,aɪvi
jae,dʒeɪ
jan,dʒæn
jay,dʒeɪ
jed,dʒɛd
jen,dʒɛn
jim,dʒɪm
jin,dʒɪn
joe,dʒoʊ
jon,dʒɑn
joy,dʒɔɪ
kai,kaɪ
kam,kæm
kay,keɪ
ken,kɛn
kia,kiɝ
kim,kɪm
kip,kɪp
kit,kɪt
kym,kɪm
lai,ɫaɪ
lan,ɫæn
lea,ɫi
lee,ɫi
len,ɫɛn
leo,ɫioʊ
les,ɫeɪ
les,ɫɛs
lia,ɫiə
lin,ɫɪn
liz,ɫɪz
lon,ɫɑn
lou,ɫu
lue,ɫu
luz,ɫəz
lyn,ɫɪn
mac,mæk
mae,meɪ
mai,maɪ
man,mæn
mao,maʊ
max,mæks
may,meɪ
mee,mi
meg,mɛɡ
mei,meɪ
mel,mɛɫ
mia,miə
min,mɪn
mui,muɪ
nam,næm
ned,nɛd
noe,noʊ
oda,oʊdə
ola,oʊɫə
oma,oʊmə
ona,ənɑ
ora,ɔɹə
pam,pæm
pat,pæt
paz,pɑz
peg,pɛɡ
pei,peɪ
pia,piə
rae,ɹeɪ
ray,ɹeɪ
rea,ɹeɪ
rex,ɹɛks
rey,ɹeɪ
ria,ɹiə
rob,ɹɑb
rod,ɹɑd
ron,ɹɑn
roy,ɹɔɪ
sal,sæɫ
sam,sæm
see,si
sha,ʃɑ
shu,ʃu
sid,sɪd
siu,siu
sol,sɑɫ
sol,soʊɫ
son,sən
soo,su
sue,su
suk,sək
sun,sən
tad,tæd
tai,taɪ
tam,tæm
ted,tɛd
thi,θi
tia,tiə
tim,tɪm
tod,tɑd
tom,tɑm
ula,juɫə
una,unə
val,væɫ
van,væn
von,vɔn
wai,waɪ
wan,wɑn
wei,weɪ
wen,wɛn
wes,wɛs
yan,jæn
yee,ji
yen,jɛn
yer,jɝ
yon,jɑn
yuk,jək
yun,jən
zoe,zoʊi
