abbreviations,əbɹivieɪʃənz
abnormalities,æbnɔɹmæɫətiz
abolitionists,æbəɫɪʃənəsts
abortifacient,əbɔɹtəfeɪʃənt
accelerometer,æksɛɫɝɑmətɝ
acceptability,əksɛptəbɪɫəti
accessibility,æksɛsəbɪɫɪti
accommodating,əkɑmədeɪtɪŋ
accommodation,əkɑmədeɪʃən
accommodative,əkɑmədeɪtɪv
accompaniment,əkəmpnimənt
accompaniment,əkəmpnɪmənt
accomplishing,əkɑmpɫɪʃɪŋ
accouterments,əkutɝmənts
accoutrements,əkutɝmənts
accreditation,əkɹɛdəteɪʃən
accumulations,əkjumjəɫeɪʃənz
acetaminophen,əsitəmɪnəfən
acetylcholine,əsɛtəɫkoʊɫin
acetylcholine,əsitəɫkoʊɫin
acidification,əsɪdəfəkeɪʃən
ackermanville,ækɝmənvɪɫ
acknowledging,æknɑɫɪdʒɪŋ
acquaintances,əkweɪntənsɪz
actinomycosis,æktɪnoʊmaɪkoʊsɪs
administering,ædmɪnɪstɝɪŋ
administrator,ədmɪnəstɹeɪtɝ
admissibility,ədmɪsəbɪɫəti
adventuresome,ædvɛntʃɝsəm
advertisement,ædvɝtaɪzmənt
advertisement,ædvɝtəzmənt
aerospatiales,ɛɹoʊspɑsiɑɫz
aesthetically,ɛsθɛtɪkɫi
affirmatively,əfɝmətɪvɫi
affordability,əfɔɹdəbɪɫəti
afroamericans,æfɹoʊəmɛɹəkənz
afterthoughts,æftɝθɑts
afterthoughts,æftɝθɔts
agglomeration,əɡɫɑmɝeɪʃən
agrochemicals,æɡɹoʊkɛmɪkəɫz
airconditions,ɛɹkəndɪʃənz
airworthiness,ɛɹwɝðinəs
algebraically,æɫdʒəbɹeɪɪkɫi
alliedsignals,æɫaɪdsɪɡnəɫz
alphabetizing,æɫfəbətaɪzɪŋ
alphagraphics,æɫfəɡɹæfɪks
alternatively,ɔɫtɝnətɪvɫi
ambassadorial,æmbæsədɔɹiəɫ
amniocentesis,æmnioʊsɛntisɪs
amphitheaters,æmfəθieɪtɝz
amplification,æmpɫəfəkeɪʃən
anachronistic,ənækɹənɪstɪk
andersonville,ændɝsənvɪɫ
anniversaries,ænəvɝsɝiz
announcements,ənaʊnsmənts
anthropogenic,ænθɹəpədʒɛnɪk
antibacterial,æntibæktɪɹiəɫ
antiballistic,æntibəɫɪstɪk
anticipations,æntɪsəpeɪʃənz
anticipations,æntɪsəpeɪʃənz
anticlimactic,æntikɫaɪmæktɪk
anticommunist,æntikɑmjənɪst
antihistamine,æntihɪstəmən
antipersonnel,æntipɝsənɛɫ
antireformers,æntaɪɹɪfɔɹmɝz
antireformers,æntiɹɪfɔɹmɝz
antisubmarine,æntaɪsəbmɝin
antisubmarine,æntɪsəbmɝin
apalachicolas,æpəɫætʃəkoʊɫəz
applicability,æpɫəkəbɪɫəti
apportionment,əpɔɹʃənmənt
apprehensions,æpɹɪhɛnʃənz
appropriately,əpɹoʊpɹiɪtɫi
appropriating,əpɹoʊpɹieɪtɪŋ
appropriation,əpɹoʊpɹieɪʃən
appropriators,əpɹoʊpɹieɪtɝz
approximately,əpɹɑksəmətɫi
approximating,əpɹɑksɪmeɪtɪŋ
approximation,əpɹɑksəmeɪʃən
arbitrariness,ɑɹbətɹɛɹinəs
archaeologist,ɑɹkiɑɫədʒɪst
archeological,ɑɹkiəɫɑdʒɪkəɫ
