aachener,ɑkənɝ
aardvark,ɑɹdvɑɹk
aaronson,ɑɹənsən
aaronson,ɛɹənsən
abalones,æbəɫoʊniz
abandons,əbændənz
abattoir,æbətwɑɹ
abdallah,æbdæɫə
abdicate,æbdəkeɪt
abdollah,æbdɑɫə
abducted,æbdəktɪd
abducted,əbdəktɪd
abductee,æbdəkti
abductor,æbdəktɝ
abductor,əbdəktɝ
abdullah,æbdəɫə
aberdeen,æbɝdin
aberford,eɪbɝfɝd
aberrant,æbɛɹənt
abetting,əbɛtɪŋ
abeyance,əbeɪəns
abhorred,əbhɔɹd
abimaels,æbɪmeɪɫz
abingdon,æbɪŋdən
abington,æbɪŋtən
abkhazia,æbkæzjə
abkhazia,æbkɑzjə
ablation,əbɫeɪʃən
ablution,əbɫuʃən
abnormal,æbnɔɹməɫ
aborting,əbɔɹtɪŋ
abortion,əbɔɹʃən
abortive,əbɔɹtɪv
abounded,əbaʊndɪd
abrahams,eɪbɹəhæmz
abramson,eɪbɹəmsən
abrasion,əbɹeɪʒən
abrasive,əbɹeɪsɪv
abridged,əbɹɪdʒd
abridges,əbɹɪdʒəz
abrogate,æbɹəɡeɪt
abruptly,əbɹəptɫi
absaraka,æbsɑɹəkə
absconds,æbskɑndz
absences,æbsənsɪz
absentee,æbsənti
absentia,æbsɛnʃə
absinthe,æbsɪnθ
absoluts,æbsəɫuts
absolute,æbsəɫut
absolved,æbzɑɫvd
absolved,əbzɑɫvd
absolves,æbzɑɫvz
absolves,əbzɑɫvz
absorbed,əbzɔɹbd
absorber,əbzɔɹbɝ
abstract,æbstɹækt
abstract,æbstɹækt
abstruse,əbstɹus
absurdly,əbsɝdɫi
abudrahm,əbədɹəm
abuellah,əbwɛɫə
abuladze,æbjuɫædzi
abundant,əbəndənt
abutting,əbətɪŋ
academia,ækədimiə
academic,ækədɛmɪk
academys,əkædəmiz
acampora,əkæmpɝə
acampsia,əkæmpsjə
acapulco,ækəpʊɫkoʊ
acceding,æksidɪŋ
accented,æksɛntɪd
accepted,æksɛptɪd
accepted,əksɛptɪd
accessed,æksɛst
accident,æksədənt
acclaims,əkɫeɪmz
acclaims,əkɫeɪmz
accokeek,ækoʊkik
accolade,ækəɫeɪd
accompli,ɑkɑmpɫi
accompli,əkɑmpɫi
accorded,əkɔɹdɪd
accosted,əkɑstɪd
accounts,əkaʊnts
accounts,əkaʊnts
accredit,əkɹɛdət
