alessandra,æɫɛsændɹɑ
alexandria,æɫəɡzændɹiə
antoinette,æntwənɛt
bernadette,bɝnədɛt
candelaria,kɑndɛɫɑɹiə
christiana,kɹɪstiænə
christiane,kɹɪstiɑn
cinderella,sɪndɝɛɫə
clementine,kɫɛməntaɪn
clementine,kɫɛməntin
concepcion,kənsɛpsioʊn
conception,kənsɛpʃən
evangeline,ɪvændʒɪɫaɪn
florentina,fɫɔɹɛntinɑ
florentino,fɫɔɹɛntinoʊ
fredericka,fɹeɪdɛɹikə
hildegarde,hɪɫdɪɡɑɹd
jacqueline,dʒækəɫɪn
jacqueline,dʒækɫɪn
jacqueline,dʒækwəɫɪn
kristopher,kɹɪstəfɝ
marguerite,mɑɹɡɝit
marquerite,mɑɹkɝit
wilhelmina,wɪɫhɛɫminɑ
