adelaide,ædəɫeɪd
adrienne,ɑdɹiɛn
alphonse,æɫfɑnz
alphonso,æɫfɑnsoʊ
anamaria,ænəməɹiə
anderson,ændɝsən
angelica,ændʒəɫikə
angelica,ændʒɛɫɪkə
angelika,ændʒɛɫɪkə
angelina,ændʒɛɫinə
angeline,ændʒəɫin
angeline,eɪŋɡɪɫaɪn
angelita,ɑŋɡɛɫitə
anjelica,ændʒɛɫəkə
asuncion,əsənʃən
augustus,ɑɡəstəs
augustus,əɡəstəs
beatrice,biətɹəs
beatrice,biətɹɪs
beatrice,bitɹəs
beatrice,bitɹɪs
benedict,bɛnədɪkt
benjamin,bɛndʒəmən
bernardo,bɝnɑɹdoʊ
berneice,bɝnaɪs
beverley,bɛvɝɫi
blondell,bɫɑndəɫ
bradford,bɹædfɝd
bridgett,bɹɪdʒɪt
brigitte,bɹɪdʒɪt
brittany,bɹɪtəni
calandra,kəɫændɹə
carlotta,kɑɹɫɔtɑ
carolina,kɛɹəɫaɪnə
caroline,kɛɹəɫaɪn
carolyne,kɛɹəɫaɪn
carolyne,kɛɹəɫɪn
catalina,kætəɫinə
cathleen,kæθɫin
chadwick,tʃædwɪk
charissa,kɑɹisə
charleen,tʃɑɹɫin
charlene,ʃɑɹɫin
charline,ʃɑɹɫin
charmain,ʃɑɹmeɪn
chastity,tʃæstəti
chauncey,tʃɔnsi
cheyenne,ʃaɪɛn
chiquita,kɪkwitə
chiquita,tʃɪkitə
chiquita,tʃɪkwitə
christal,kɹɪstəɫ
christel,kɹɪstəɫ
christen,kɹɪsən
christie,kɹɪsti
chrystal,kɹɪstəɫ
clarence,kɫɛɹəns
claribel,kɫɛɹəbɛɫ
clarinda,kɫɝɪndə
clarissa,kɫɝɪsə
claudine,kɫɔdin
clemente,kɫəmɛnteɪ
clemente,kɫəmɛnti
clifford,kɫɪfɝd
clorinda,kɫɔɹində
collette,kəɫɛt
columbus,kəɫəmbəs
conchita,kəntʃitə
consuela,kənsweɪɫə
cordelia,kɔɹdiɫiə
cornelia,kɔɹniɫjə
courtney,kɔɹtni
cristina,kɹɪstinə
daniella,dænjɛɫə
danielle,dænjɛɫ
