abandonments,əbændənmənts
abbreviating,əbɹivieɪtɪŋ
abbreviation,əbɹivieɪʃən
aberrational,æbɝeɪʃənəɫ
abolitionist,æbəɫɪʃənəst
abominations,əbɑməneɪʃənz
abortionists,əbɔɹʃənɪsts
absoluteness,æbsəɫutnəs
abstractions,æbstɹækʃənz
academically,ækədɛmɪkɫi
academicians,ækədəmɪʃənz
academicians,əkædəmɪʃənz
accelerating,æksɛɫɝeɪtɪŋ
acceleration,æksɛɫɝeɪʃən
accelerators,æksɛɫɝeɪtɝz
accentuating,æksɛntʃueɪtɪŋ
accessorized,æksɛsɝaɪzd
accidentally,æksədɛnəɫi
accidentally,æksədɛntəɫi
accommodated,əkɑmədeɪtɪd
accommodates,əkɑmədeɪts
accompanying,əkəmpəniɪŋ
accomplished,əkɑmpɫɪʃt
accomplishes,əkɑmpɫɪʃɪz
accouterment,əkutɝmənt
accoutrement,əkutɝmənt
accumulating,əkjumjəɫeɪtɪŋ
accumulation,əkjumjəɫeɪʃən
accumulative,əkjumjəɫeɪtɪv
accumulators,əkjumjəɫeɪtɝz
achievements,ətʃivmənts
acknowledged,æknɑɫɪdʒd
acknowledges,æknɑɫɪdʒɪz
acoustically,əkustɪkɫi
acquaintance,əkweɪntəns
acquiescence,ækwiɛsəns
acquisitions,ækwəzɪʃənz
acquisitions,ækwəzɪʃənz
adaptability,ədæptəbɪɫəti
additionally,ədɪʃənəɫi
additionally,ədɪʃnəɫi
adjudicating,ədʒudɪkeɪtɪŋ
adjudication,ədʒudəkeɪʃən
administered,ədmɪnəstɝd
administrate,ædmɪnɪstɹeɪt
admonishment,ædmɑnɪʃmɛnt
adulteration,ədəɫtɝeɪʃən
advancements,ədvænsmənts
advantageous,ædvənteɪdʒəs
advertisings,ædvɝtaɪzɪŋz
advertorials,ædvɝtɔɹiəɫz
advisability,ædvaɪzəbɪɫɪti
aerodynamics,ɛɹoʊdaɪnæmɪks
aeronautical,ɛɹənɑtəkəɫ
aeronautical,ɛɹoʊnɑtəkəɫ
aeronauticas,ɛɹoʊnɔtɪkəs
aerospatiale,ɛɹoʊspɑsiɑɫ
affectionate,əfɛkʃənət
affectionate,əfɛkʃənɪt
affiliations,əfɪɫieɪʃənz
affirmations,æfɝmeɪʃənz
afghanistans,æfɡænəstænz
afghanistans,æfɡænəstænz
aforethought,əfɔɹθɑt
afrikanerdom,æfɹəkɑnɝdəm
afroamerican,æfɹoʊəmɛɹəkən
afterburners,æftɝbɝnɝz
aftereffects,æftɝəfɛkts
aftermarkets,æftɝmɑɹkɪts
afterthought,æftɝθɑt
afterthought,æftɝθɔt
aggrandizing,æɡɹəndaɪzɪŋ
aggrandizing,əɡɹændaɪzɪŋ
aggressively,əɡɹɛsɪvɫi
aggressivity,əɡɹɛsɪvɪti
agnostically,æɡnɑstɪkɫi
agribusiness,æɡɹəbɪznəs
agricultural,æɡɹəkəɫtʃɝəɫ
agricultural,æɡɹɪkəɫtʃɝəɫ
agricultures,æɡɹɪkəɫtʃɝz
agrigenetics,æɡɹədʒənɛtɪks
agrochemical,æɡɹoʊkɛməkəɫ
aircondition,ɛɹkəndɪʃən
alchemically,æɫkɛməkɫi
alessandrini,ɑɫɛsɑndɹini
alexandrines,æɫəɡzændɹinz
alliedsignal,æɫaɪdsɪɡnəɫ
alliteration,əɫɪtɝeɪʃən
alliterative,əɫɪtɝeɪtɪv
alliterative,əɫɪtɝətɪv
allmendinger,æɫmɛndɪŋɝ
alphabetical,æɫfəbɛtɪkəɫ
alphabetized,æɫfəbətaɪzd
alphabetizes,æɫfəbətaɪzɪz
alphametrics,æɫfəmɛtɹɪks
alphanumeric,æɫfənumɛɹɪk
altercations,ɑɫtɝkeɪʃənz
alternatives,ɔɫtɝnətɪvz
amalgamateds,əmæɫɡəmeɪtɪdz
amalgamating,əmæɫɡəmeɪtɪŋ
amalgamation,əmæɫɡəmeɪʃən
ambassadress,æmbæsədɹəs
ambidextrous,æmbədɛkstɹəs
ambidextrous,æmbɪdɛkstɹəs
amelioration,əmiɫjɝeɪʃən
americanized,əmɛɹɪkənaɪzd
amortization,æmɝtɪzeɪʃən
amphetamines,æmfɛtəminz
amphitheater,æmfəθieɪtɝ
amphitheatre,æmfəθieɪtɝ
anachronisms,ənækɹənɪzəmz
anaesthetics,ænəsθɛtɪks
anaesthetist,ənɛsθɛtɪst
analytically,ænəɫɪtɪkɫi
anatomically,ænətɑməkɫi
andruskevich,ændɹəsɛvɪtʃ
andrzejewski,əndʒeɪɛfski
anencephalic,ænɛnsəfæɫɪk
anencephalic,ænɪnsɛfəɫɪk
angiogenesis,ændʒioʊdʒɛnəsəs
