abby,æbi
abel,eɪbəɫ
adah,ædɑ
adam,ædəm
adan,eɪdən
aida,aɪidə
aide,eɪd
alan,æɫən
alba,æɫbə
alda,ɑɫdə
aldo,ɑɫdoʊ
alec,æɫɪk
alex,æɫəks
alix,æɫɪks
alla,ɑɫə
alma,ɑɫmə
alta,ɑɫtə
alva,æɫvə
amal,əmɑɫ
amie,æmi
amos,eɪməs
andy,ændi
anja,ɑndʒə
anna,ænə
anne,æn
arie,ɛɹi
aron,ɛɹən
asha,ɑʃə
asia,eɪʒə
aura,ɔɹə
avis,eɪvɪs
barb,bɑɹb
bari,bɑɹi
bart,bɑɹt
beau,boʊ
bebe,bibi
bell,bɛɫ
bert,bɝt
bess,bɛs
beth,bɛθ
bibi,bibi
bibi,bɪbi
bill,bɪɫ
bong,bɑŋ
boyd,bɔɪd
brad,bɹæd
bree,bɹi
bret,bɹɛt
buck,bək
bula,bjuɫə
burl,bɝɫ
burt,bɝt
cara,kɛɹə
carl,kɑɹɫ
cary,kɛɹi
chad,tʃæd
chae,tʃaɪ
chan,tʃæn
chas,tʃɑz
chau,ʃoʊ
cher,ʃɛɹ
chet,tʃɛt
chia,tʃiə
chin,tʃɪn
chun,tʃən
cira,sɝə
clay,kɫeɪ
cleo,kɫioʊ
cody,koʊdi
cole,koʊɫ
cora,kɔɹə
cory,kɔɹi
cris,kɹɪs
cruz,kɹuz
curt,kɝt
dale,deɪɫ
dana,deɪnə
dane,deɪn
dani,dɑni
dann,dæn
dara,dæɹə
dave,deɪv
dawn,dɔn
dean,din
debi,dɛbi
dede,did
deja,deɪʒɑ
deja,didʒə
dell,dɛɫ
dena,dinə
deon,diɑn
dian,daɪən
dick,dɪk
dina,dinə
dino,dinoʊ
dion,daɪən
dion,diɔn
dirk,dɝk
dona,doʊnə
dong,dɔŋ
dong,dɔŋɡ
donn,dɑn
dora,dɔɹə
dori,dɔɹi
doug,dəɡ
drew,dɹu
dung,dəŋ
dyan,daɪæn
earl,ɝɫ
echo,ɛkoʊ
eddy,ɛdi
eden,idən
edie,ɛdi
edna,ɛdnə
edra,ɛdɹə
elia,əɫaɪə
ella,ɛɫə
elly,ɛɫi
elma,ɛɫmə
elmo,ɛɫmoʊ
elna,ɪɫnɑ
eloy,iɫɔɪ
elsa,ɛɫsə
else,ɛɫs
elva,ɛɫvə
