abigail,æbəɡeɪɫ
abraham,eɪbɹəhæm
adeline,ædəɫaɪn
adriana,eɪdɹiænə
agustin,əɡɔstɪn
alberta,æɫbɝtə
alberto,æɫbɝtoʊ
alethea,æɫəθiə
alfonso,æɫfɑnsoʊ
alfonzo,æɫfɑnzoʊ
alfredo,æɫfɹeɪdoʊ
allegra,ɑɫɛɡɹə
allison,æɫəsən
allison,æɫɪsən
allyson,æɫɪsən
ambrose,æmbɹoʊz
america,əmɛɹəkə
america,əmɛɹɪkə
andreas,ɑndɹeɪəs
angeles,ændʒəɫɪs
angelic,ændʒɛɫɪk
annabel,ænəbɛɫ
annette,ənɛt
anthony,ænθəni
antoine,ɑntwɑn
antonia,æntoʊniə
antonio,æntoʊnioʊ
ardelia,ɑɹdɛɫiə
ardella,ɑɹdɛɫə
ardelle,ɑɹdɛɫ
arianna,ɑɹiænə
arlette,ɑɹɫɛt
arlinda,ɑɹɫɪndə
armando,ɑɹmɑndoʊ
arnette,ɑɹnɛt
arnulfo,ɑɹnəɫfoʊ
augusta,əɡəstə
aurelio,aʊɹeɪɫioʊ
babette,bəbɛt
barbara,bɑɹbɝə
barbara,bɑɹbɹə
barbera,bɑɹbɛɹə
barrett,bæɹɪt
barrett,bɛɹɪt
basilia,bɑsiɫiə
belinda,bəɫɪndə
bennett,bɛnət
bennett,bɛnɪt
bernard,bɝnɝd
bernard,bɝnɑɹd
bernice,bɝnis
bernita,bɝnitə
bertram,bɝtɹəm
bethann,bɛθæn
bethany,bɛθəni
bettina,bətinə
beverly,bɛvɝɫi
blanche,bɫæntʃ
blossom,bɫɑsəm
bradley,bɹædɫi
branden,bɹændən
brandon,bɹændən
brendan,bɹɛndən
brendon,bɹɛndən
brenton,bɹɛntən
brianna,bɹiænə
bridget,bɹɪdʒət
bridget,bɹɪdʒɪt
britney,bɹitni
bronwyn,bɹɑnwɪn
caitlin,keɪtɫɪn
calista,kəɫɪstə
cameron,kæmɝən
camilla,kəmɪɫə
camille,kəmiɫ
candace,kændəs
candice,kændɪs
candida,kændɪdə
caprice,kəpɹis
caridad,kæɹədæd
carissa,kɑɹisə
carleen,kɑɹɫin
carlene,kɑɹɫin
carlita,kɑɹɫitɑ
carlton,kɑɹɫtən
carmela,kɑɹmɛɫɑ
carmelo,kɑɹmɛɫoʊ
carmine,kɑɹmən
carolyn,kɛɹəɫɪn
carroll,kæɹəɫ
carroll,kɛɹəɫ
cassidy,kæsɪdi
cecelia,sɪsiɫjə
cecilia,sɪsiɫjə
celesta,sɪɫɛstə
celeste,səɫɛst
celinda,tʃɛɫində
chandra,tʃændɹə
chantal,tʃæntəɫ
charita,kɑɹitə
charity,tʃɛɹɪti
charles,tʃɑɹəɫz
charles,tʃɑɹɫz
charley,tʃɑɹɫi
charlie,tʃɑɹɫi
chelsea,tʃɛɫsi
cherish,tʃɛɹɪʃ
chester,tʃɛstɝ
chrissy,kɹɪsi
christa,kɹɪstə
christi,kɹɪsti
christy,kɹɪsti
clarice,kɫɝis
clarine,kɫɛɹin
clarita,kɫɑɹitə
claudia,kɫɔdiə
claudie,kɫɔdi
claudio,kɫɔdioʊ
clayton,kɫeɪtən
clement,kɫɛmənt
clemmie,kɫɛmi
clifton,kɫɪftən
clinton,kɫɪntən
coleman,koʊɫmən
coletta,koʊɫɛtə
colette,koʊɫɛt
colleen,kɑɫin
coralie,kɔɹəɫi
corazon,kɔɹəzoʊn
cordell,kɔɹdɛɫ
coretta,kɔɹɛtə
corinna,kɔɹɪnə
corinne,kɝin
corliss,kɔɹɫɪs
cornell,kɔɹnɛɫ
corrina,kɝinə
cristal,kɹɪstəɫ
crystal,kɹɪstəɫ
cynthia,sɪnθiə
damaris,dəmɑɹəs
danelle,dənɛɫ
daniela,dænjɛɫə
daniele,dænjɛɫ
daniell,dæniɫ
darleen,dɑɹɫin
darlene,dɑɹɫin
darline,dɑɹɫaɪn
darnell,dɑɹnɛɫ
darrell,dɛɹəɫ
darrick,dæɹɪk
deborah,dɛbɝə
deborah,dɛbɹə
deirdre,diɹdɹə
delaine,dɪɫeɪn
delbert,dɛɫbɝt
delfina,dɛɫfinə
delicia,dɛɫitʃə
delilah,dəɫaɪɫə
delilah,dɪɫaɪɫə
delores,dəɫɔɹɪs
deloris,dɛɫɝɪs
delphia,dɛɫfiə
derrick,dɛɹɪk
desiree,dɛsaɪɹi
desmond,dɛzmənd
destiny,dɛstəni
dewayne,diweɪn
dewayne,dɪweɪn
diamond,daɪmənd
dolores,dəɫɔɹɪs
domingo,dəmɪŋɡoʊ
domingo,doʊmɪŋɡoʊ
dominic,dɑmənɪk
donella,doʊnɛɫə
donnell,dɑnɪɫ
donovan,dɑnəvən
dorinda,dɔɹində
dorothy,dɔɹəθi
dorothy,dɔɹθi
dorthea,dɔɹðiə
douglas,dəɡɫəs
earlene,ɝɫin
earline,ɝɫaɪn
earnest,ɝnɪst
edmundo,ɛdməndoʊ
eduardo,ɛdwɑɹdoʊ
eleanor,ɛɫənɝ
eleanor,ɛɫənɔɹ
elenore,ɛɫɪnɝ
elfreda,ɛɫfɹɛdə
elinore,ɛɫinɔɹi
elliott,ɛɫiət
elouise,ɛɫəwiz
emanuel,ɪmænjuəɫ
emelina,ɛmɛɫinə
emeline,ɛmɪɫaɪn
emerald,ɛmɝɹəɫd
emerald,ɛmɹəɫd
emerson,ɛmɝsən
emogene,ɛməɡin
enrique,ɛnɹikeɪ
erminia,ɝminiə
ernesto,ɝnɛstoʊ
esteban,ɛstəbɑn
estella,ɛstɛɫə
estelle,ɛstɛɫ
ethelyn,ɛθɪɫɪn
eugenia,judʒiniə
eugenie,judʒini
eugenio,judʒinioʊ
eusebio,jusibioʊ
evelina,ɛvɛɫinə
eveline,ɛvəɫɪn
everett,ɛvɝət
everett,ɛvɹət
ezekiel,ɛzɪkiɫ
fatimah,fæθɪmə
felicia,fəɫiʃə
fidelia,fɪdiɫjə
florida,fɫɑɹədə
florida,fɫɑɹɪdə
florida,fɫɔɹədə
