bout,baʊt
cuse,kjuz
gain,ɡɛn
twas,twəz
aase,ɑs
abad,əbɑd
abba,æbə
abbe,æbi
abbe,æbeɪ
abcs,eɪbisiz
abco,æbkoʊ
abcs,eɪbisiz
abdo,æbdoʊ
abed,əbɛd
abee,əbi
aber,eɪbɝ
abet,əbɛt
abex,eɪbɛks
abid,eɪbɪd
abie,æbi
abio,ɑbioʊ
able,eɪbəɫ
ably,eɪbɫi
abos,ɑboʊz
abor,əbɔɹ
abou,əbu
abra,ɑbɹə
abso,æbsoʊ
abts,æbts
abts,eɪbitiɛs
abts,eɪbitiz
abut,əbət
acco,ækoʊ
accu,ækju
aced,eɪst
acer,eɪsɝ
aces,eɪsɪz
acey,eɪsi
ache,eɪk
achy,eɪki
acid,æsəd
acme,ækmi
acne,ækni
acog,əkɔɡ
acre,eɪkɝ
acri,ɑkɹi
acro,ækɹoʊ
acts,ækts
acta,æktɑ
acts,æks
acts,ækts
adas,eɪdəz
adak,ədæk
adar,ədɑɹ
adas,eɪdəz
aday,ədeɪ
adds,ædz
addy,ædi
adee,ədi
adel,ədɛɫ
aden,eɪdən
ader,eɪdɝ
ades,eɪdz
adey,eɪdi
adhd,eɪdieɪtʃdi
adia,ɑdiə
adid,ədɪd
adin,ədɪn
adon,ɑdɔn
ador,ɑdɔɹ
adra,eɪdɹə
adsl,eɪdiɛsɛɫ
adss,æds
adss,eɪdiɛsɛs
advo,ædvoʊ
aero,ɛɹoʊ
afar,əfɑɹ
afro,æfɹoʊ
agan,eɪɡən
agar,eɪɡɝ
agco,æɡkoʊ
ages,eɪdʒɪz
aged,eɪdʒd
aged,eɪdʒɪd
agee,eɪdʒi
ager,eɪdʒɝ
ages,eɪdʒəz
ages,eɪdʒɪz
agfa,æɡfə
aggy,æɡi
agie,æɡi
agin,ɑdʒin
agip,eɪɡɪp
aglo,əɡɫoʊ
agna,æɡnɑ
agne,æɡnɪ
agog,əɡɑɡ
agra,æɡɹə
agri,æɡɹi
agro,æɡɹoʊ
agua,ɑɡwə
ague,eɪɡju
ahab,eɪhæb
ahah,ɑhɑ
ahlf,ɑɫf
ahoy,əhɔɪ
aids,eɪdz
aids,eɪdz
ails,eɪɫz
aims,eɪmz
aime,eɪm
aims,eɪmz
aint,eɪnt
aine,eɪn
ainu,eɪnu
airs,ɛɹz
aird,ɛɹd
airs,ɛɹz
airy,ɛɹi
aisa,aɪisə
aist,eɪst
aiwa,aɪwə
ajaj,ədʒɑdʒ
ajar,ədʒɑɹ
ajax,eɪdʒæks
ajay,ɛdʒeɪ
akai,əkaɪ
akao,əkɑw
akao,əkeɪoʊ
akel,əkɛɫ
aken,eɪkən
aker,ækɝ
aker,eɪkɝ
akey,əki
akin,eɪkɪn
akin,əkɪn
akio,ɑkioʊ
akre,ækɝ
akst,ækst
akzo,ækzoʊ
alai,əɫaɪ
alam,əɫæm
alar,eɪɫɑɹ
alas,əɫæs
albo,æɫboʊ
alco,æɫkoʊ
aldi,ɑɫdi
alem,əɫɛm
aleo,ɑɫioʊ
ales,eɪɫz
aley,eɪɫi
alfa,æɫfə
algy,æɫdʒi
alis,ɑɫiz
alie,æɫi
alig,æɫɪɡ
alka,æɫkə
alls,ɔɫz
alli,æɫi
alls,ɔɫz
ally,æɫaɪ
ally,əɫaɪ
