aaron,ɛɹən
abbey,æbi
abbie,æbi
abdul,æbduɫ
abram,əbɹæm
addie,ædi
adela,ədɛɫə
adele,ədɛɫ
adell,ədɛɫ
adena,ædɪnə
adina,ɑdinə
adria,ɑdɹiə
agnes,æɡnɪs
ahmad,ɑmɑd
ahmed,ɑməd
ahmed,ɑmɛd
aimee,eɪmi
aisha,aɪʃə
akiko,əkikoʊ
alana,ɑɫænə
alane,əɫeɪn
alden,ɑɫdən
aleen,əɫin
alena,ɑɫeɪnə
alene,əɫin
aleta,ɑɫɛtə
alexa,əɫɛksə
alice,æɫəs
alice,æɫɪs
alida,ɑɫidə
alina,əɫinə
aline,əɫaɪn
alisa,əɫisə
alita,ɑɫitə
allan,æɫən
allen,æɫən
allie,æɫi
allyn,æɫɪn
alpha,æɫfə
alton,ɔɫtən
alvin,æɫvɪn
alyce,æɫɪs
amado,ɑmɑdoʊ
amber,æmbɝ
andre,ɑndɹeɪ
angel,eɪndʒəɫ
angie,ændʒi
angle,æŋɡəɫ
anisa,ænisə
anita,ənitə
annie,æni
annis,æniz
anton,æntɔn
april,eɪpɹəɫ
arden,ɑɹdən
ardis,ɑɹdɪs
ariel,ɛɹiəɫ
arlen,ɑɹɫən
arlie,ɑɹɫi
artie,ɑɹti
audry,ɔdɹi
aurea,aʊɹeɪɑ
avery,eɪvɝi
avril,ævɹɪɫ
avril,eɪvɹəɫ
ayako,əjɑkoʊ
bambi,bæmbi
barry,bæɹi
barry,bɛɹi
basil,bæzəɫ
beata,biætə
becki,bɛki
becky,bɛki
belen,bɛɫən
bella,bɛɫə
belle,bɛɫ
belva,beɪɫvə
benny,bɛni
berna,bɛɹnə
berry,bɛɹi
berta,bɝtə
beryl,bɛɹəɫ
betsy,bɛtsi
bette,bɛti
betty,bɛti
beula,buɫə
billy,bɪɫi
blair,bɫɛɹ
blake,bɫeɪk
bobbi,bɑbi
bobby,bɑbi
bonny,bɑni
boris,bɔɹɪs
boyce,bɔɪs
brady,bɹeɪdi
brain,bɹeɪn
brant,bɹænt
brent,bɹɛnt
brett,bɹɛt
brian,bɹaɪən
brice,bɹaɪs
britt,bɹɪt
brock,bɹɑk
brook,bɹʊk
bruce,bɹus
bruna,bɹunə
bruno,bɹunoʊ
bryan,bɹaɪən
bryce,bɹaɪs
bryon,bɹaɪən
buddy,bədi
buena,bunə
buffy,bəfi
bunny,bəni
burma,bɝmə
byron,baɪɹən
caleb,keɪɫəb
cammy,kæmi
candy,kændi
carey,kɛɹi
carie,kɛɹi
carin,kæɹɪn
carla,kɑɹɫɑ
carli,kɑɹɫi
carlo,kɑɹɫoʊ
carly,kɑɹɫi
carma,kɑɹmɑ
carol,kæɹəɫ
carol,kɛɹəɫ
caron,kɑɹɔn
carry,kæɹi
carry,kɛɹi
caryl,kɛɹəɫ
caryn,kɑɹɪn
casey,keɪsi
cathy,kæθi
cecil,sisəɫ
celia,siɫjə
cesar,sizɝ
chana,tʃænə
chang,tʃæŋ
chara,tʃɑɹə
chase,tʃeɪs
cheri,ʃɛɹi
chery,tʃɛɹi
china,tʃaɪnə
ching,tʃɪŋ
chloe,kɫoʊi
chong,tʃɔŋ
chris,kɹɪs
chuck,tʃək
chung,tʃəŋ
ciera,siɹɑ
cindy,sɪndi
clair,kɫɛɹ
clara,kɫæɹə
clara,kɫɛɹə
clare,kɫɛɹ
clark,kɫɑɹk
claud,kɫɔd
cliff,kɫɪf
clint,kɫɪnt
clyde,kɫaɪd
colby,koʊɫbi
colin,koʊɫɪn
coral,kɔɹəɫ
corey,kɔɹi
craig,kɹeɪɡ
cyndi,sɪndi
cyril,sɪɹəɫ
cyrus,saɪɹəs
dacia,deɪʃiə
daisy,deɪzi
dalia,dɑɫjə
damon,deɪmən
dania,deɪnjə
danna,dænə
danny,dæni
dante,dɑnteɪ
darby,dɑɹbi
darcy,dɑɹsi
daren,dæɹɪn
daria,dɑɹiə
darin,dæɹɪn
dario,dɛɹioʊ
darla,dɑɹɫə
