'bout	/_ba_t/		Aaron	aaron
'cause	/k_z/		Abbey	abbey
'course	/_k__s/		Abbie	abbie
'cuse	/_kjuz/		Abby	abby
'em	/_m/		Abdul	abdul
'frisco	/_f__sko_/		Abe	abe
'gain	/___n/		Abel	abel
'kay	/_ke_/		Abigail	abigail
'm	/_m/		Abraham	abraham
'n	/_n/		Abram	abram
'round	/__a_nd/		Ada	ada
's	/__s/		Adah	adah
'til	/_t__/		Adalberto	adalberto
'tis	/_t_z/		Adaline	adaline
'twas	/_tw_z/		Adam	adam
a	/_e_/		Adan	adan
a.	/_e_/		Addie	addie
a.'s	/_e_z/		Adela	adela
a.d.	/_e__di/		Adelaida	adelaida
a.m.	/_e___m/		Adelaide	adelaide
a.s	/_e_z/		Adele	adele
a's	/_e_z/		Adelia	adelia
aaa	/_t__p___e_/		Adelina	adelina
aaberg	/__b__/		Adeline	adeline
aachen	/__k_n/		Adell	adell
aachener	/__k_n_/		Adella	adella
aaker	/__k_/		Adelle	adelle
aaliyah	/____i__/		Adena	adena
aalseth	/___s__/		Adina	adina
aamodt	/__m_t/		Adolfo	adolfo
aancor	/__n_k__/		Adolph	adolph
aardema	/___d_m_/		Adria	adria
aardvark	/___d_v__k/		Adrian	adrian
aardvarks	/___d_v__ks/		Adriana	adriana
aargh	/____/		Adriane	adriane
aarhus	/___hus/		Adrianna	adrianna
aaron	/____n/	Aaron	Adrianne	adrianne
aaron's	/____nz/		Adrien	adrien
aarons	/____nz/		Adriene	adriene
aaronson	/____ns_n/		Adrienne	adrienne
aaronson	/____ns_n/		Afton	afton
aaronson's	/____ns_nz/		Agatha	agatha
aaronson's	/____ns_nz/		Agnes	agnes
aarti	/____ti/		Agnus	agnus
aase	/__s/		Agripina	agripina
aasen	/__s_n/		Agueda	agueda
ab	/_¾b/		Agustin	agustin
ab	/_e__bi/		Agustina	agustina
aba	/_e__bi_e_/		Ahmad	ahmad
ababa	/__b_b_/		Ahmed	ahmed
ababa	/__b_b_/		Ai	ai
abacha	/_¾b_k_/		Aida	aida
aback	/__b¾k/		Aide	aide
abaco	/_¾b__ko_/		Aiko	aiko
abacus	/_¾b_k_s/		Aileen	aileen
abad	/__b_d/		Ailene	ailene
abadaka	/__b¾d_k_/		Aimee	aimee
abadi	/__b¾di/		Aisha	aisha
abadie	/__b¾di/		Aja	aja
abair	/__b__/		Akiko	akiko
abalkin	/__b__k_n/		Akilah	akilah
abalone	/_¾b___o_ni/		Al	al
abalones	/_¾b___o_niz/		Alaina	alaina
abalos	/__b__o_z/		Alaine	alaine
abandon	/__b¾nd_n/		Alan	alan
abandoned	/__b¾nd_nd/		Alana	alana
abandoning	/__b¾nd_n__/		Alane	alane
abandonment	/__b¾nd_nm_nt/		Alanna	alanna
abandonments	/__b¾nd_nm_nts/		Alayna	alayna
abandons	/__b¾nd_nz/		Alba	alba
abanto	/__b¾nto_/		Albert	albert
abarca	/__b__k_/		Alberta	alberta
abare	/__b__i/		Albertha	albertha
abascal	/_¾b_sk__/		Albertina	albertina
abash	/__b¾_/		Albertine	albertine
abashed	/__b¾_t/		Alberto	alberto
abasia	/__be__j_/		Albina	albina
abate	/__be_t/		Alda	alda
abated	/__be_t_d/		Alden	alden
abatement	/__be_tm_nt/		Aldo	aldo
abatements	/__be_tm_nts/		Alease	alease
abates	/__be_ts/		Alec	alec
abating	/__be_t__/		Alecia	alecia
abattoir	/_¾b_t_w__/		Aleen	aleen
abba	/_¾b_/		Aleida	aleida
abbado	/__b_do_/		Aleisha	aleisha
abbas	/__b_s/		Alejandra	alejandra
abbasi	/__b_si/		Alejandrina	alejandrina
abbate	/__be_t/		Alejandro	alejandro
abbatiello	/_b_ti___o_/		Alena	alena
abbe	/_¾bi/		Alene	alene
abbe	/¾_be_/		Alesha	alesha
abbenhaus	/_¾b_n_ha_s/		Aleshia	aleshia
abbett	/__b_t/		Alesia	alesia
abbeville	/_¾bv__/		Alessandra	alessandra
