word,ipa
aaron,ɛɹən
abbey,æbi
abbie,æbi
abby,æbi
abdul,æbduɫ
abe,eɪb
abel,eɪbəɫ
abigail,æbəɡeɪɫ
abraham,eɪbɹəhæm
abram,əbɹæm
ada,eɪdə
adah,ædɑ
adam,ædəm
adan,eɪdən
addie,ædi
adela,ədɛɫə
adelaide,ædəɫeɪd
adele,ədɛɫ
adeline,ædəɫaɪn
adell,ədɛɫ
adelle,ədɛɫ
adena,ædɪnə
adina,ɑdinə
adolfo,ədɑɫfoʊ
adolph,eɪdɔɫf
adria,ɑdɹiə
adrian,eɪdɹiən
adriana,eɪdɹiænə
adrienne,ɑdɹiɛn
agatha,æɡəθə
agnes,æɡnɪs
agustin,əɡɔstɪn
ahmad,ɑmɑd
ahmed,ɑməd
ahmed,ɑmɛd
ai,aɪ
ai,eɪaɪ
aida,aɪidə
aide,eɪd
aileen,aɪɫin
ailene,aɪɫin
aimee,eɪmi
aisha,aɪʃə
aja,aɪə
akiko,əkikoʊ
al,æɫ
alaine,əɫeɪn
alan,æɫən
alana,ɑɫænə
alane,əɫeɪn
alanna,ɑɫɑnə
alba,æɫbə
albert,æɫbɝt
alberta,æɫbɝtə
albertina,ɑɫbɝtinə
albertine,æɫbɝtin
alberto,æɫbɝtoʊ
albina,ɑɫbinə
alda,ɑɫdə
alden,ɑɫdən
aldo,ɑɫdoʊ
alec,æɫɪk
aleen,əɫin
alejandro,ɑɫeɪhɑndɹoʊ
alejandro,ɑɫeɪjɑndɹoʊ
alena,ɑɫeɪnə
alene,əɫin
alessandra,æɫɛsændɹɑ
aleta,ɑɫɛtə
aletha,əɫiθə
alethea,æɫəθiə
alex,æɫəks
alexa,əɫɛksə
alexander,æɫəɡzændɝ
alexander,æɫɪɡzændɝ
alexandra,æɫɛɡzændɹə
alexandra,æɫɪɡzændɹə
alexandria,æɫəɡzændɹiə
alexia,əɫɛksiə
alexis,əɫɛksɪs
alfonso,æɫfɑnsoʊ
alfonzo,æɫfɑnzoʊ
alfred,æɫfɹəd
alfred,æɫfɹɪd
alfredo,æɫfɹeɪdoʊ
ali,ɑɫi
alice,æɫəs
alice,æɫɪs
alicia,əɫɪʃə
alida,ɑɫidə
alina,əɫinə
aline,əɫaɪn
alisa,əɫisə
alisha,ɑɫiʃə
alison,æɫɪsən
alissa,əɫɪsə
alita,ɑɫitə
alix,æɫɪks
alla,ɑɫə
allan,æɫən
