word,ipa
aaron,ɛɹən
alethea,æɫəθiə
allison,æɫɪsən
ana,ænə
anja,ɑndʒə
ariel,ɛɹiəɫ
august,ɔɡəst
barry,bæɹi
benton,bɛntən
bianca,biɑŋkə
branda,bɹændə
brooke,bɹʊk
candace,kændəs
carmon,kɑɹmən
cathleen,kæθɫin
charlene,ʃɑɹɫin
chris,kɹɪs
clarinda,kɫɝɪndə
coleman,koʊɫmən
corrin,kɔɹɪn
damon,deɪmən
darnell,dɑɹnɛɫ
deidre,didɹə
denver,dɛnvɝ
dione,diɑn
doris,dɑɹəs
earlene,ɝɫin
elaine,əɫeɪn
elizabeth,ɪɫɪzəbɪθ
elvis,ɛɫvɪs
eric,ɛɹɪk
ettie,ɛti
farrah,fɛɹə
florance,fɫɔɹəns
franklyn,fɹæŋkɫɪn
garry,ɡɛɹi
geri,dʒɛɹi
glynis,ɡɫɪnɪs
gwyneth,ɡwɪnəθ
heather,hɛðɝ
hillary,hɪɫɝi
hyacinth,haɪəsɪnθ
irena,ɪɹeɪnə
jacinta,dʒəsɪntə
jane,dʒeɪn
jazmin,dʒæzmɪn
jerri,dʒɛɹi
joette,dʒoʊɛt
josh,dʒɑʃ
juliet,dʒuɫiɛt
karren,kæɹən
kelli,kɛɫi
kirk,kɝk
laine,ɫeɪn
lauri,ɫɔɹi
lenard,ɫɛnɝd
lettie,ɫɛti
ling,ɫɪŋ
lora,ɫɔɹə
lovie,ɫəvi
luther,ɫuθɝ
magda,mæɡdə
maple,meɪpəɫ
maria,mɝiə
marlene,mɑɹɫin
marylou,mæɹiɫu
mckinley,məkɪnɫi
mi,mi
millard,mɪɫɝd
mohammad,moʊhɑmɛd
myrta,mɝtə
nella,nɛɫə
nina,ninə
ola,oʊɫə
pablo,pɑbɫoʊ
pearle,pɝɫ
pinkie,pɪŋki
ramona,ɹəmoʊnə
reginald,ɹɛdʒənəɫd
ricky,ɹɪki
rolando,ɹoʊɫɑndoʊ
rosella,ɹoʊzɛɫə
rufus,ɹufəs
sanda,sændə
selina,səɫinə
shawnee,ʃɔni
shirlene,ʃɝɫin
sonja,soʊnjɑ
steven,stivən
sylvia,sɪɫviə
terence,tɛɹəns
thomasina,tɑmɑsinə
tonie,toʊni
tyler,taɪɫɝ
vena,vinə
vinnie,vɪni
ward,wɔɹd
williams,wɪɫjəmz
yen,jɛn
zola,zoʊɫə
