word,ipa
agnew,æɡnju
alfaro,ɑɫfɑɹoʊ
announced,ənaʊnst
areas,ɛɹiəz
authier,ɔθiɝ
badges,bædʒɪz
begelman,beɪɡəɫmən
biggs,bɪɡz
blattner,bɫætnɝ
bos,bɑs
branch,bɹæntʃ
budgets,bədʒɪts
burtons,bɝtənz
caraveras,kɑɹəvɛɹəz
castillon,kæstɪɫɑn
cherts,tʃɝts
citrano,tʃitɹɑnoʊ
combes,koʊmz
contest,kəntɛst
cresap,kɹɛsəp
cupit,kjupɪt
deblock,dɛbɫək
dicicco,dɪsɪkoʊ
discussed,dɪskəst
drechsel,dɹɛksəɫ
elating,ɪɫeɪtɪŋ
enabling,ɛneɪbəɫɪŋ
evermore,ɛvɝmɔɹ
faison,feɪzən
fifield,fɪfiɫd
flared,fɫɛɹd
freaks,fɹiks
functions,fəŋkʃənz
gehret,ɡɛɹɪt
gilberg,ɡɪɫbɝɡ
gosnell,ɡɑsnəɫ
greever,ɡɹivɝ
handlers,hændəɫɝz
homonym,hɔmənɪm
howry,haʊɹi
impassion,ɪmpæʃən
insilco,ɪnsɪɫkoʊ
jeanniot,dʒiniət
jugglers,dʒəɡəɫɝz
kerman,kɝmən
kipling,kɪpɫɪŋ
kral,kɹæɫ
kyodo,kjoʊdoʊ
laury,ɫɔɹi
lein,ɫin
loong,ɫʊŋ
mangling,mæŋɡɫɪŋ
maxy,mæksi
mcglothin,məɡɫɑθən
merten,mɝtən
mild,maɪɫd
montanans,mɑntænənz
mourner,mɔɹnɝ
naylor,neɪɫɝ
nexis,nɛksɪs
ocanas,oʊkænəz
okinawa,oʊkɪnɑwə
overkill,oʊvɝkɪɫ
panties,pæntiz
pennings,pɛnɪŋz
pettinger,pɛtɪŋɝ
plock,pɫɑk
pontiff,pɑntɪf
prody,poʊdi
pythons,paɪθɑnz
ravinous,ɹeɪvɪnɪs
redfern,ɹɛdfɝn
resisted,ɹɪzɪstɪd
richart,ɹɪkhɑɹt
rosenbalm,ɹoʊzənbɑm
ruman,ɹumən
satires,sætaɪɝz
schlepp,ʃɫɛp
seide,saɪd
sevey,sɪveɪ
sicilian,sɪsɪɫiən
sison,sɪsən
sokol,soʊkəɫ
spaugh,spɔ
staunton,stɔntən
stocum,stoʊkəm
surles,sɔɹəɫz
tesler,tɛsəɫɝ
thriller,θɹɪɫɝ
tracor,tɹɛkɝ
tropworld,tɹɑpwɝɫd
unhinged,ənhɪndʒd
utters,ətɝz
views,vjuz
voshell,vɑʃəɫ
weisfeld,waɪsfɛɫd
whining,waɪnɪŋ
wogoman,woʊɡoʊmən
wyly,waɪɫi
zirk,zɝk
