word,ipa
bout,baʊt
round,ɹaʊnd
a.s,eɪz
aancor,ɑnkɔɹ
aaronsons,ɑɹənsənz
abacha,æbəkə
abalone,æbəɫoʊni
abarca,əbɑɹkə
abates,əbeɪts
abbe,æbeɪ
abbottstown,æbətstaʊn
abc,eɪbisi
abdicate,æbdəkeɪt
abdominal,æbdɑmənəɫ
abduction,əbdəkʃən
abed,əbɛd
abelow,æbəɫoʊ
aberg,æbɝɡ
abert,æbɝt
abhorrent,æbhɔɹənt
abie,æbi
abiolas,ɑbioʊɫəz
abkhazian,æbkɑziən
abler,eɪbəɫɝ
abner,æbnɝ
abohalima,æbəhəɫimə
abominations,əbɑməneɪʃənz
abortifacient,əbɔɹtəfeɪʃənt
abou,əbu
above,əbəv
abrahams,eɪbɹəhæmz
abramss,eɪbɹəmzɪz
abrego,ɑbɹɛɡoʊ
abrogated,æbɹəɡeɪtɪd
abruzzo,ɑbɹuzoʊ
absconds,æbskɑndz
abshier,æbʃiɝ
absolutes,æbsəɫuts
absolving,æbzɑɫvɪŋ
absorption,əbsɔɹpʃən
abstentions,æbstɛntʃənz
abstracts,æbstɹækts
abts,eɪbitiɛs
aburto,əbʊɹtoʊ
abusive,əbjusɪv
abyssinian,æbsɪniən
academician,ækədəmɪʃən
acampsia,əkæmpsjə
acceding,æksidɪŋ
accelerators,æksɛɫɝeɪtɝz
accentuates,æksɛntʃueɪts
acceptance,æksɛptəns
accessibility,æksɛsəbɪɫɪti
accidents,æksədənts
acclaims,əkɫeɪmz
accolade,ækəɫeɪd
accompanied,əkəmpənid
accompli,əkɑmpɫi
accors,ækɝz
accost,əkɔst
accountant,əkaʊntənt
accounts,əkaʊnts
accrediting,əkɹɛdətɪŋ
accuhealth,ækjuhɛɫθ
accumulator,əkjumjəɫeɪtɝ
accurso,ɑkʊɹsoʊ
accusers,əkjuzɝz
acer,eɪsɝ
acetic,əsitɪk
acey,eɪsi
achene,əkin
achieved,ətʃivd
aching,eɪkɪŋ
achterberg,æktɝbɝɡ
acidosis,æsədoʊsəs
ackermann,ækɝmən
acknowledge,æknɑɫɪdʒ
ackroyds,ækɹɔɪdz
acolyte,ækəɫaɪt
acoustical,əkustɪkəɫ
acquiesce,ækwiɛs
acquires,əkwaɪɝz
acquittal,əkwɪtəɫ
acri,ɑkɹi
acronym,ækɹənɪm
actavas,æktɑvəz
action,ækʃən
activator,æktəveɪtɝ
activists,æktɪvɪsts
actors,æktɝz
actuality,æktʃuæɫəti
actuators,æktjueɪtɝz
acuras,ækjɝəz
ad-lib,ædɫɪb
adagio,ədɑʒioʊ
adamczak,ɑdəmtʃæk
adamo,ɑdɑmoʊ
adaptability,ədæptəbɪɫəti
adapters,ədæptɝz
adaza,ədɑzə
addendums,ədɛndəmz
addictions,ədɪkʃənz
addis,ɑdɪs
additionally,ədɪʃnəɫi
address,ədɹɛs
addwest,ædwɛst
adelizzi,ædəɫizi
adelson,ædəɫsən
adenosine,ədɛnəsin
aderholt,ædɝhoʊɫt
adherent,ədhɪɹənt
adid,ədɪd
adisq,eɪdɪsk
adjourned,ədʒɝnd
adjunct,ædʒəŋkt
adjustments,ədʒəstmənts
adler,ædɫɝ
administered,ədmɪnəstɝd
administratively,ædmɪnəstɹeɪtɪvɫi
admirable,ædmɹəbəɫ
admirer,ædmaɪɹɝ
admissions,ədmɪʃənz
admonishes,ædmɑnɪʃɪz
adobes,ədoʊbiz
adolphson,ædoʊɫfsən
adopter,ədɑptɝ
adorable,ədɔɹəbəɫ
adorned,ədɔɹnd
adrenalin,ədɹɛnəɫɪn
ads,ædz
adulate,ædʒəɫeɪt
adulterers,ədəɫtɝɝz
advalue,ædvəɫu
advances,ədvænsɪz
advantages,ædvæntɪdʒɪz
adventurers,ædvɛntʃɝɝz
adversarial,ædvɝsɛɹiəɫ
advertise,ædvɝtaɪz
advertises,ædvɝtaɪzɪz
advisability,ædvaɪzəbɪɫɪti
advisers,ədvaɪzɝz
advocacy,ædvəkəsi
adwell,ədwɛɫ
aeneas,æniəs
aeriens,ɛɹiənz
aerodynamic,ɛɹoʊdaɪnæmɪk
aerojet,ɛɹoʊdʒɛt
aeronautical,ɛɹənɑtəkəɫ
aerosol,ɛɹəsɑɫ
aerostats,ɛɹoʊstæts
aesthete,ɛsθit
affable,æfəbəɫ
affectionate,əfɛkʃənət
affidavit,æfədeɪvət
affiliating,əfɪɫieɪtɪŋ
affirm,əfɝm
affixed,əfɪkst
afflictions,əfɫɪkʃənz
afforded,əfɔɹdəd
affymax,æfimæks
aficionado,əfiʃjənɑdoʊ
afonso,əfɑnsoʊ
africa,æfɹɪkə
africanize,æfɹəkənaɪz
afroamerican,æfɹoʊəmɛɹəkən
afterall,æftɝɑɫ
afterlife,æftɝɫaɪf
aftershaves,æftɝʃeɪvz
afterward,æftɝwɝd
agaches,æɡætʃəz
agans,ɑɡɑnz
agawam,æɡəwɑm
agence,ædʒəns
agents,eɪdʒənts
aggarwal,əɡɑɹwəɫ
aggrandizing,əɡɹændaɪzɪŋ
aggregates,æɡɹəɡeɪts
aggressor,əɡɹɛsɝ
agile,ædʒəɫ
agitating,ædʒəteɪtɪŋ
aglow,əɡɫoʊ
agnew,æɡnju
agog,əɡɑɡ
agony,æɡəni
agra,æɡɹə
agreements,əɡɹimənts
agribank,æɡɹɪbæŋk
agriculture,æɡɹɪkəɫtʃɝ
agroindustrial,æɡɹoʊɪdəstɹiəɫ
aguadilla,ɑɡwədɪɫə
aguilar,æɡəɫɑɹ
aguirre,əɡwɪɹeɪ
ahaulsie,əhɑɫsi
ahlen,ɑɫən
ahlquists,ɑɫkwɪsts
ahmeek,əmik
ahonen,əhoʊnən
ahuja,ɑhujə
aides,eɪdz
aids,eɪdz
aikin,eɪkɪn
ailey,eɪɫi
aims,eɪmz
aims,eɪmz
ainsworths,eɪnzwɝθs
airbase,ɛɹbeɪs
airco,ɛɹkoʊ
aircrafts,ɛɹkɹæfs
airey,ɛɹi
airfones,ɛɹfoʊnz
airheadz,ɛɹhɛdz
airlifting,ɛɹɫɪftɪŋ
airlinks,ɛɹɫɪŋks
airplanes,ɛɹpɫeɪnz
airships,ɛɹʃɪps
airtouch,ɛɹtətʃ
airwings,ɛɹwɪŋz
aisling,eɪsɫɪŋ
aix-en-provence,eɪksɑnpɹəvɔns
ajaxs,eɪdʒæksɪz
akamine,ækəmaɪn
akc,æk
akerman,ækɝmən
akin,eɪkɪn
akkadian,əkeɪdiən
akzos,ækzoʊz
alabamas,æɫəbæməz
alagappan,ɑɫəɡɑpən
alamco,əɫæmkoʊ
alamoud,æɫəmud
alarcon,əɫɑɹkɑn
alarming,əɫɑɹmɪŋ
alaskamen,əɫæskəmən
alban,ɑɫbən
albans,æɫbænz
albee,əɫbi
albern,æɫbɝn
albertsons,æɫbɝtsənz
albiric,ɑɫbaɪɹɪk
albums,æɫbəmz
alcans,æɫkænz
alcee,æɫsi
alcos,æɫkoʊz
alcohols,æɫkəhɑɫz
aldape,ɑɫdɑpeɪ
alderidge,ɑɫdɹɪdʒ
aldin,ɑɫdin
aldric,ɔɫdɹɪk
aldys,ɑɫdiz
aleichem,əɫɛhɛm
aleo,ɑɫioʊ
ales,eɪɫz
aletti,əɫɛti
alexanders,æɫɪɡzændɝz
alexopoulos,æɫɪɡzɑpəɫɪs
alfaro,ɑɫfɑɹoʊ
alfonse,æɫfɔns
algae,æɫdʒi
algeo,æɫdʒioʊ
algol,æɫɡɑɫ
alhadeff,æɫədɛf
alibi,æɫəbaɪ
alienated,eɪɫiəneɪtɪd
aligning,əɫaɪnɪŋ
alimenies,æɫɪmɛniz
alisky,əɫɪski
alive,əɫaɪv
alkaloidal,æɫkəɫɔɪdəɫ
all-purpose,ɔɫpɝpəs
allamuchy,ɑɫəmutʃi
allbee,ɔɫbi
allebach,æɫbɑk
alleges,əɫɛdʒɪz
allegiances,əɫidʒənsɪz
allele,əɫɛɫi
allenbys,æɫənbiz
allenton,æɫəntən
allergist,æɫɝdʒəst
alleviated,əɫivieɪtɪd
alleyways,æɫiweɪz
alliances,əɫaɪənsəz
alliedsignal,æɫaɪdsɪɡnəɫ
alling,ɔɫɪŋ
alliteration,əɫɪtɝeɪʃən
allocated,æɫəkeɪtɪd
allographs,æɫəɡɹæfs
allotments,əɫɑtmənts
alloway,æɫoʊweɪ
alls,ɔɫz
allstates,ɔɫsteɪts
alluding,əɫudɪŋ
alluvium,æɫuviəm
alm,ɑɫm
almanzar,ɑɫmɑnzɑɹ
almer,ɔɫmɝ
almoner,ɑɫmənɝ
aloe,æɫoʊ
aloka,əɫoʊkə
alonza,əɫɑnzə
alpaca,æɫpækə
alphabetic,æɫfəbɛtɪk
alphametrics,æɫfəmɛtɹɪks
alpirez,æɫpɪɹɛz
alrosa,ɑɫɹoʊsə
alsbrooks,æɫzbɹʊks
alsobrooks,æɫsəbɹʊks
