word,ipa
bout,baʊt
cause,kəz
course,kɔɹs
cuse,kjuz
em,əm
frisco,fɹɪskoʊ
gain,ɡɛn
kay,keɪ
m,əm
n,ən
round,ɹaʊnd
s,ɛs
til,tɪɫ
tis,tɪz
twas,twəz
a,eɪ
a.,eɪ
a.s,eɪz
a.d.,eɪdi
a.m.,eɪɛm
a.s,eɪz
as,eɪz
aaa,tɹɪpəɫeɪ
aaberg,ɑbɝɡ
aachen,ɑkən
aachener,ɑkənɝ
aaker,ɑkɝ
aaliyah,ɑɫiɑ
aalseth,ɑɫsɛθ
aamodt,ɑmət
aancor,ɑnkɔɹ
aardema,ɑɹdɛmə
aardvark,ɑɹdvɑɹk
aardvarks,ɑɹdvɑɹks
aargh,ɑɹɡ
aarhus,ɑhus
aarons,ɛɹənz
aarons,ɛɹənz
aaronson,ɑɹənsən
aaronson,ɛɹənsən
aaronsons,ɑɹənsənz
aaronsons,ɛɹənsənz
aarti,ɑɹti
aase,ɑs
aasen,ɑsən
ab,æb
ab,eɪbi
aba,eɪbieɪ
ababa,ɑbəbə
ababa,əbɑbə
abacha,æbəkə
aback,əbæk
abaco,æbəkoʊ
abacus,æbəkəs
abad,əbɑd
abadaka,əbædəkə
abadi,əbædi
abadie,əbædi
abair,əbɛɹ
abalkin,əbɑɫkɪn
abalone,æbəɫoʊni
abalones,æbəɫoʊniz
abalos,ɑbɑɫoʊz
abandon,əbændən
abandoned,əbændənd
abandoning,əbændənɪŋ
abandonment,əbændənmənt
abandonments,əbændənmənts
abandons,əbændənz
abanto,əbæntoʊ
abarca,əbɑɹkə
abare,ɑbɑɹi
abascal,æbəskəɫ
abash,əbæʃ
abashed,əbæʃt
abasia,əbeɪʒjə
abate,əbeɪt
abated,əbeɪtɪd
abatement,əbeɪtmənt
abatements,əbeɪtmənts
abates,əbeɪts
abating,əbeɪtɪŋ
abattoir,æbətwɑɹ
abba,æbə
abbado,əbɑdoʊ
abbas,əbɑs
abbasi,ɑbɑsi
abbate,ɑbeɪt
abbatiello,ɑbɑtiɛɫoʊ
abbe,æbi
abbe,æbeɪ
abbenhaus,æbənhaʊs
abbett,əbɛt
abbeville,æbvɪɫ
abbeys,æbiz
abbitt,æbɪt
abbot,æbət
abbotstown,æbətstaʊn
abbott,æbət
abbotts,æbəts
abbottstown,æbətstaʊn
abboud,əbaʊd
abboud,əbud
abbreviate,əbɹivieɪt
abbreviated,əbɹivieɪtɪd
abbreviates,əbɹivieɪts
abbreviating,əbɹivieɪtɪŋ
abbreviation,əbɹivieɪʃən
abbreviations,əbɹivieɪʃənz
abbruzzese,ɑbɹutseɪzi
abc,eɪbisi
abcs,eɪbisiz
abco,æbkoʊ
abcotek,æbkoʊtɛk
abcs,eɪbisiz
abd,eɪbidi
abdalla,æbdæɫə
abdallah,æbdæɫə
abdel,æbdɛɫ
abdella,æbdɛɫə
abdicate,æbdəkeɪt
abdicated,æbdəkeɪtɪd
abdicates,æbdəkeɪts
abdicating,æbdɪkeɪtɪŋ
abdication,æbdɪkeɪʃən
abdnor,æbdnɝ
abdo,æbdoʊ
abdollah,æbdɑɫə
abdomen,æbdəmən
abdomen,æbdoʊmən
abdominal,æbdɑmənəɫ
abdominal,əbdɑmənəɫ
abduct,æbdəkt
abducted,æbdəktɪd
abducted,əbdəktɪd
abductee,æbdəkti
abductees,æbdəktiz
abducting,æbdəktɪŋ
abducting,əbdəktɪŋ
abduction,æbdəkʃən
abduction,əbdəkʃən
abductions,æbdəkʃənz
abductions,əbdəkʃənz
abductor,æbdəktɝ
abductor,əbdəktɝ
abductors,əbdəktɝz
abducts,æbdəkts
abdulaziz,æbduɫəziz
abdulla,ɑbduɫə
abdullah,æbdəɫə
abed,əbɛd
abedi,əbɛdi
abee,əbi
abela,ɑbɛɫə
abelard,æbɪɫɝd
abele,əbɛɫ
abeles,eɪbəɫiz
abeles,əbɛɫz
abella,əbɛɫə
abeln,æbɪɫn
abelow,æbəɫoʊ
abels,eɪbəɫz
abelson,æbɪɫsən
abend,æbɛnd
abend,əbɛnd
abendroth,æbɪndɹɔθ
aber,eɪbɝ
abercrombie,æbɝkɹɑmbi
aberdeen,æbɝdin
aberford,eɪbɝfɝd
aberg,æbɝɡ
aberle,æbɝəɫ
aberle,æbɝɫ
