[1/100] - ptime: 28.87 loss_d: 1.358, loss_g: 0.812
Word: agnew     	Gen. IPA: ʃʃʃʃʃʃʃʃʃ 	Real IPA: æɡnju
Word: alfaro    	Gen. IPA: ʃʃʃʃʃʃʃʃʃ 	Real IPA: ɑɫfɑɹoʊ
Word: announced 	Gen. IPA: ʃʃʃʃʃʃʃʃʃ 	Real IPA: ənaʊnst
Word: areas     	Gen. IPA: ʃʃʃʃʃʃʃʃʃ 	Real IPA: ɛɹiəz
Word: authier   	Gen. IPA: ʃʃʃʃʃʃʃʃʃ 	Real IPA: ɔθiɝ
Word: badges    	Gen. IPA: ʃʃʃʃʃʃʃʃʃ 	Real IPA: bædʒɪz
Word: begelman  	Gen. IPA: ʃʃʃʃʃʃʃʃʃ 	Real IPA: beɪɡəɫmən
Word: biggs     	Gen. IPA: ʃʃʃʃʃʃʃʃʃ 	Real IPA: bɪɡz
Word: blattner  	Gen. IPA: ʃʃʃʃʃʃʃʃʃ 	Real IPA: bɫætnɝ
Word: bos       	Gen. IPA: ʃʃʃʃʃʃʃʃʃ 	Real IPA: bɑs
Word: branch    	Gen. IPA: ʃʃʃʃʃʃʃʃʃ 	Real IPA: bɹæntʃ
Word: budgets   	Gen. IPA: ʃʃʃʃʃʃʃʃʃ 	Real IPA: bədʒɪts
Word: burtons   	Gen. IPA: ʃʃʃʃʃʃʃʃʃ 	Real IPA: bɝtənz
Word: caraveras 	Gen. IPA: ʃʃʃʃʃʃʃʃʃ 	Real IPA: kɑɹəvɛɹəz
Word: castillon 	Gen. IPA: ʃʃʃʃʃʃʃʃʃ 	Real IPA: kæstɪɫɑn
Word: cherts    	Gen. IPA: ʃʃʃʃʃʃʃʃʃ 	Real IPA: tʃɝts
Word: citrano   	Gen. IPA: ʃʃʃʃʃʃʃʃʃ 	Real IPA: tʃitɹɑnoʊ
Word: combes    	Gen. IPA: ʃʃʃʃʃʃʃʃʃ 	Real IPA: koʊmz
Word: contest   	Gen. IPA: ʃʃʃʃʃʃʃʃʃ 	Real IPA: kəntɛst
Word: cresap    	Gen. IPA: ʃʃʃʃʃʃʃʃʃ 	Real IPA: kɹɛsəp
Word: cupit     	Gen. IPA: ʃʃʃʃʃʃʃʃʃ 	Real IPA: kjupɪt
Word: deblock   	Gen. IPA: ʃʃʃʃʃʃʃʃʃ 	Real IPA: dɛbɫək
Word: dicicco   	Gen. IPA: ʃʃʃʃʃʃʃʃʃ 	Real IPA: dɪsɪkoʊ
Word: discussed 	Gen. IPA: ʃʃʃʃʃʃʃʃʃ 	Real IPA: dɪskəst
Word: drechsel  	Gen. IPA: ʃʃʃʃʃʃʃʃʃ 	Real IPA: dɹɛksəɫ
Word: elating   	Gen. IPA: ʃʃʃʃʃʃʃʃʃ 	Real IPA: ɪɫeɪtɪŋ
Word: enabling  	Gen. IPA: ʃʃʃʃʃʃʃʃʃ 	Real IPA: ɛneɪbəɫɪŋ
Word: evermore  	Gen. IPA: ʃʃʃʃʃʃʃʃʃ 	Real IPA: ɛvɝmɔɹ
Word: faison    	Gen. IPA: ʃʃʃʃʃʃʃʃʃ 	Real IPA: feɪzən
Word: fifield   	Gen. IPA: ʃʃʃʃʃʃʃʃʃ 	Real IPA: fɪfiɫd
Word: flared    	Gen. IPA: ʃʃʃʃʃʃʃʃʃ 	Real IPA: fɫɛɹd
Word: freaks    	Gen. IPA: ʃʃʃʃʃʃʃʃʃ 	Real IPA: fɹiks
Word: functions 	Gen. IPA: ʃʃʃʃʃʃʃʃʃ 	Real IPA: fəŋkʃənz
Word: gehret    	Gen. IPA: ʃʃʃʃʃʃʃʃʃ 	Real IPA: ɡɛɹɪt
Word: gilberg   	Gen. IPA: ʃʃʃʃʃʃʃʃʃ 	Real IPA: ɡɪɫbɝɡ
Word: gosnell   	Gen. IPA: ʃʃʃʃʃʃʃʃʃ 	Real IPA: ɡɑsnəɫ
Word: greever   	Gen. IPA: ʃʃʃʃʃʃʃʃʃ 	Real IPA: ɡɹivɝ
Word: handlers  	Gen. IPA: ʃʃʃʃʃʃʃʃʃ 	Real IPA: hændəɫɝz
Word: homonym   	Gen. IPA: ʃʃʃʃʃʃʃʃʃ 	Real IPA: hɔmənɪm
Word: howry     	Gen. IPA: ʃʃʃʃʃʃʃʃʃ 	Real IPA: haʊɹi
Word: impassion 	Gen. IPA: ʃʃʃʃʃʃʃʃʃ 	Real IPA: ɪmpæʃən
Word: insilco   	Gen. IPA: ʃʃʃʃʃʃʃʃʃ 	Real IPA: ɪnsɪɫkoʊ
Word: jeanniot  	Gen. IPA: ʃʃʃʃʃʃʃʃʃ 	Real IPA: dʒiniət
Word: jugglers  	Gen. IPA: ʃʃʃʃʃʃʃʃʃ 	Real IPA: dʒəɡəɫɝz
Word: kerman    	Gen. IPA: ʃʃʃʃʃʃʃʃʃ 	Real IPA: kɝmən
Word: kipling   	Gen. IPA: ʃʃʃʃʃʃʃʃʃ 	Real IPA: kɪpɫɪŋ
Word: kral      	Gen. IPA: ʃʃʃʃʃʃʃʃʃ 	Real IPA: kɹæɫ
Word: kyodo     	Gen. IPA: ʃʃʃʃʃʃʃʃʃ 	Real IPA: kjoʊdoʊ
