[1/100] - ptime: 18.29 loss_d: 1.352, loss_g: 0.615
Word: agnew     	Gen. IPA: ktðekɑueʃ 	Real IPA: æɡnju
Word: alfaro    	Gen. IPA: dʃ ɔðʒ ɔd 	Real IPA: ɑɫfɑɹoʊ
Word: announced 	Gen. IPA: wzæ ɹembɑ 	Real IPA: ənaʊnst
Word: areas     	Gen. IPA: jzʒho ujɪ 	Real IPA: ɛɹiəz
Word: authier   	Gen. IPA: ɪkmbuætoz 	Real IPA: ɔθiɝ
Word: badges    	Gen. IPA: æfbdauɹ ɔ 	Real IPA: bædʒɪz
Word: begelman  	Gen. IPA: eʒwphzpnʒ 	Real IPA: beɪɡəɫmən
Word: biggs     	Gen. IPA: hoʒjðofɪɹ 	Real IPA: bɪɡz
Word: blattner  	Gen. IPA: ɑpɑhðzo m 	Real IPA: bɫætnɝ
Word: bos       	Gen. IPA: uhɑɔɝeouu 	Real IPA: bɑs
Word: branch    	Gen. IPA: ɑðeɹʃnzɔð 	Real IPA: bɹæntʃ
Word: budgets   	Gen. IPA: ð ɔæmakɪ  	Real IPA: bədʒɪts
Word: burtons   	Gen. IPA: bɑʃ u nɹæ 	Real IPA: bɝtənz
Word: caraveras 	Gen. IPA: e  ɝdɹehe 	Real IPA: kɑɹəvɛɹəz
Word: castillon 	Gen. IPA: fnpf d  z 	Real IPA: kæstɪɫɑn
Word: cherts    	Gen. IPA: nɔʒɝd tbd 	Real IPA: tʃɝts
Word: citrano   	Gen. IPA: wokɡpbɑʃʃ 	Real IPA: tʃitɹɑnoʊ
Word: combes    	Gen. IPA: æɪbdjoanh 	Real IPA: koʊmz
Word: contest   	Gen. IPA: dɹkðfɔuɹn 	Real IPA: kəntɛst
Word: cresap    	Gen. IPA: odjmɑ ɝɔa 	Real IPA: kɹɛsəp
Word: cupit     	Gen. IPA: aohtɑonɡɝ 	Real IPA: kjupɪt
Word: deblock   	Gen. IPA: tz ɹdɑbæf 	Real IPA: dɛbɫək
Word: dicicco   	Gen. IPA: tubmʃɔfʒw 	Real IPA: dɪsɪkoʊ
Word: discussed 	Gen. IPA: ɝɪɔnɹwnɹa 	Real IPA: dɪskəst
Word: drechsel  	Gen. IPA:  ɡɝ aa fu 	Real IPA: dɹɛksəɫ
Word: elating   	Gen. IPA: ɑkd h ɑɑp 	Real IPA: ɪɫeɪtɪŋ
Word: enabling  	Gen. IPA: fɹnɔɔwʒnf 	Real IPA: ɛneɪbəɫɪŋ
Word: evermore  	Gen. IPA:   ɔkæ aaɡ 	Real IPA: ɛvɝmɔɹ
Word: faison    	Gen. IPA: bɪmtmbpua 	Real IPA: feɪzən
Word: fifield   	Gen. IPA: ʃæpmɪkɔwɑ 	Real IPA: fɪfiɫd
Word: flared    	Gen. IPA: ɪʒʃwpɹnhw 	Real IPA: fɫɛɹd
Word: freaks    	Gen. IPA:  ɝɡwʒkjɡɡ 	Real IPA: fɹiks
Word: functions 	Gen. IPA: wtemnzpfɔ 	Real IPA: fəŋkʃənz
Word: gehret    	Gen. IPA: ɝzeʃɔʒfaʃ 	Real IPA: ɡɛɹɪt
Word: gilberg   	Gen. IPA: ɔʃð ambjz 	Real IPA: ɡɪɫbɝɡ
Word: gosnell   	Gen. IPA: hʒɑɪekmhp 	Real IPA: ɡɑsnəɫ
Word: greever   	Gen. IPA: fɪɝbhuozu 	Real IPA: ɡɹivɝ
Word: handlers  	Gen. IPA: zɔðwwoɹdɡ 	Real IPA: hændəɫɝz
Word: homonym   	Gen. IPA: fɹutpɑɡej 	Real IPA: hɔmənɪm
Word: howry     	Gen. IPA: aʒɡɪɹɑfɹ  	Real IPA: haʊɹi
Word: impassion 	Gen. IPA: nðdwkɡej  	Real IPA: ɪmpæʃən
Word: insilco   	Gen. IPA: ɝ hubznpɑ 	Real IPA: ɪnsɪɫkoʊ
Word: jeanniot  	Gen. IPA: bɡnujkwʒj 	Real IPA: dʒiniət
Word: jugglers  	Gen. IPA: ʒetkkɑoɹf 	Real IPA: dʒəɡəɫɝz
Word: kerman    	Gen. IPA: ɹɔɝɔɔ ɡʃb 	Real IPA: kɝmən
Word: kipling   	Gen. IPA: ɹɝpʒpuʒʒɹ 	Real IPA: kɪpɫɪŋ
Word: kral      	Gen. IPA: ðhfb ɹɔoɹ 	Real IPA: kɹæɫ
Word: kyodo     	Gen. IPA: eɝukɑ ʃ a 	Real IPA: kjoʊdoʊ
Word: laury     	Gen. IPA: h p ɹoæd  	Real IPA: ɫɔɹi
Word: lein      	Gen. IPA: ahfjædæʃ  	Real IPA: ɫin
Word: loong     	Gen. IPA: ʒaʒm ɝɹɪd 	Real IPA: ɫʊŋ
Word: mangling  	Gen. IPA: ɪwɡɹ  puð 	Real IPA: mæŋɡɫɪŋ
Word: maxy      	Gen. IPA: h emnhfuf 	Real IPA: mæksi
Word: mcglothin 	Gen. IPA: pðæhjm h  	Real IPA: məɡɫɑθən
Word: merten    	Gen. IPA: ɑfnuɔ zwk 	Real IPA: mɝtən
Word: mild      	Gen. IPA: ɝjz pjkbʃ 	Real IPA: maɪɫd
Word: montanans 	Gen. IPA: ɪɡɝ ɪ ðɡð 	Real IPA: mɑntænənz
Word: mourner   	Gen. IPA: hptðnɡɑof 	Real IPA: mɔɹnɝ
Word: naylor    	Gen. IPA: ʒɔɪɡuhʒɔf 	Real IPA: neɪɫɝ
Word: nexis     	Gen. IPA: ju ofuumð 	Real IPA: nɛksɪs
Word: ocanas    	Gen. IPA: ðɡɡɔkuz ɹ 	Real IPA: oʊkænəz
Word: okinawa   	Gen. IPA: ɑdhjemɝjo 	Real IPA: oʊkɪnɑwə
Word: overkill  	Gen. IPA: fʃutaɹ pe 	Real IPA: oʊvɝkɪɫ
Word: panties   	Gen. IPA: fdaʃzzwɔɑ 	Real IPA: pæntiz
Word: pennings  	Gen. IPA: aɡhʃdaæʃɪ 	Real IPA: pɛnɪŋz
Word: pettinger 	Gen. IPA: ɑɝɝk  kɑh 	Real IPA: pɛtɪŋɝ
Word: plock     	Gen. IPA: ohzɪ uwnɹ 	Real IPA: pɫɑk
Word: pontiff   	Gen. IPA: ʒbaɔbɔe ʃ 	Real IPA: pɑntɪf
Word: prody     	Gen. IPA: kɝku æaɡɔ 	Real IPA: poʊdi
Word: pythons   	Gen. IPA: ɹʃbuaempp 	Real IPA: paɪθɑnz
Word: ravinous  	Gen. IPA:  ɹtnunmeɹ 	Real IPA: ɹeɪvɪnɪs
Word: redfern   	Gen. IPA: ɪphwɑɑjæt 	Real IPA: ɹɛdfɝn
Word: resisted  	Gen. IPA: ʃzæʒðɡ ɑt 	Real IPA: ɹɪzɪstɪd
Word: richart   	Gen. IPA: wetæbɔtʃh 	Real IPA: ɹɪkhɑɹt
Word: rosenbalm 	Gen. IPA: ʒdbɪfɹkɔj 	Real IPA: ɹoʊzənbɑm
Word: ruman     	Gen. IPA: ɝowɝɪ eɹu 	Real IPA: ɹumən
Word: satires   	Gen. IPA: ʃhɝhʒzeu  	Real IPA: sætaɪɝz
Word: schlepp   	Gen. IPA: twjbɔðʃmu 	Real IPA: ʃɫɛp
Word: seide     	Gen. IPA:  ɹɪjt apd 	Real IPA: saɪd
