[1/100] - ptime: 18.52 loss_d: 1.364, loss_g: 0.622
[1/100] - ptime: 18.33 loss_d: 1.363, loss_g: 0.618
[1/100] - ptime: 18.49 loss_d: 1.332, loss_g: 0.636
Word: agnew     	Gen. IPA: znfhɪjovə 	Real IPA: æɡnju
Word: alfaro    	Gen. IPA: ʒwedʊɹæjʊ 	Real IPA: ɑɫfɑɹoʊ
Word: announced 	Gen. IPA: ɡ ɑdʒvt ʒ 	Real IPA: ənaʊnst
Word: areas     	Gen. IPA: jszsɑʊb v 	Real IPA: ɛɹiəz
Word: authier   	Gen. IPA: ɔzɹj wʒəə 	Real IPA: ɔθiɝ
Word: badges    	Gen. IPA: θeə ɪvdnh 	Real IPA: bædʒɪz
Word: begelman  	Gen. IPA: hhəʒɔmɛmn 	Real IPA: beɪɡəɫmən
Word: biggs     	Gen. IPA: æɛhnvnɑdʊ 	Real IPA: bɪɡz
Word: blattner  	Gen. IPA: w ɑæo bŋz 	Real IPA: bɫætnɝ
Word: bos       	Gen. IPA: ænədmsndʒ 	Real IPA: bɑs
Word: branch    	Gen. IPA: ɡŋɛ θɡævə 	Real IPA: bɹæntʃ
Word: budgets   	Gen. IPA: jeeɡʒɡʊfθ 	Real IPA: bədʒɪts
Word: burtons   	Gen. IPA: vvf ɔθɪɹf 	Real IPA: bɝtənz
Word: caraveras 	Gen. IPA: sfɔstʊθɹw 	Real IPA: kɑɹəvɛɹəz
Word: castillon 	Gen. IPA: tʒɛthmɑɪɑ 	Real IPA: kæstɪɫɑn
Word: cherts    	Gen. IPA: ɹɪɑəɹsmov 	Real IPA: tʃɝts
Word: citrano   	Gen. IPA: wjʒtoʊoʊf 	Real IPA: tʃitɹɑnoʊ
Word: combes    	Gen. IPA: ɡɹʊ mʊ nɪ 	Real IPA: koʊmz
Word: contest   	Gen. IPA: əʒnʊʒvdwj 	Real IPA: kəntɛst
Word: cresap    	Gen. IPA:  θv vɛʒvm 	Real IPA: kɹɛsəp
