word,ipa
abacus,æbəkəs
abarca,əbɑɹkə
abates,əbeɪts
abbado,əbɑdoʊ
abduct,æbdəkt
abelow,æbəɫoʊ
abeyta,ɑbeɪtə
abhors,əbhɔɹz
abides,əbaɪdz
ablate,əbɫeɪt
ablaze,əbɫeɪz
aborts,əbɔɹts
abound,əbaʊnd
abouts,əbaʊts
abrade,æbɹeɪd
abrupt,əbɹəpt
abscam,æbskæm
absent,æbsənt
absorb,əbzɔɹb
abston,æbstən
abused,əbjuzd
abuser,əbjuzɝ
acacia,əkeɪʃə
accent,æksɛnt
accent,əksɛnt
accept,æksɛpt
accept,əksɛpt
accion,ætʃiən
acetic,əsɛtɪk
acetic,əsitɪk
acidic,əsɪdɪk
acidly,æsədɫi
acmats,ækmæts
acosta,əkɔstə
actava,æktɑvə
acuras,ækjɝəz
acuras,ækjɝəz
adabel,ædəbɛɫ
adalia,ɑdɑɫiə
adamec,ədɑmɪk
adamek,ədɑmɛk
adames,ədeɪmz
adamik,ədɑmɪk
adapts,ədæpts
adduci,ɑdutʃi
adidas,ədidəs
adjoin,ədʒɔɪn
adjust,ədʒəst
adkins,ædkɪnz
admins,ædmɪnz
admins,ədmɪnz
admire,ædmaɪɹ
admits,ədmɪts
adonis,ədɑnəs
adopts,ədɑpts
adorna,ɑdɔɹnə
adorns,ədɔɹnz
adrift,ədɹɪft
adroit,ədɹɔɪt
adstar,ædstɑɹ
adults,ædəɫts
adults,ədəɫts
adults,ædəɫts
adults,ədəɫts
advani,ædvɑni
advent,ædvɛnt
advest,ædvɛst
advice,ædvaɪs
advice,ədvaɪs
advils,ædvɪɫz
advise,ædvaɪz
advise,ədvaɪz
aegean,ɪdʒiən
aeolus,ɛoʊɫʊs
aflame,əfɫeɪm
afloat,əfɫoʊt
afraid,əfɹeɪd
africa,æfɹəkɑ
africa,æfɹɪkə
afridi,əfɹidi
afulas,əfuɫəz
agawam,æɡəwɑm
agence,ædʒəns
agneta,ɑɡnɛtə
agrusa,ɑɡɹusə
aguero,ɑɡɛɹoʊ
aguila,ɑɡwiɫə
aidids,aɪdidz
aiello,aɪɛɫoʊ
aikens,eɪkɪnz
aikins,aɪkɪnz
aikman,eɪkmən
aimone,eɪmoʊn
aipacs,aɪpæks
aircoa,ɛɹkoʊə
aitken,aɪtkən
akitas,əkitəz
alagna,ɑɫɑɡnə
alanis,ɑɫɑnɪs
alaniz,æɫənɪz
alarid,əɫɛɹɪd
alarms,əɫɑɹmz
alarms,əɫɑɹmz
alaron,əɫɛɹən
alaska,əɫæskə
alatas,əɫɑtəs
albani,æɫbɑni
albank,ɑɫbæŋk
albans,æɫbænz
albany,ɔɫbəni
albeit,ɔɫbiɪt
albini,ɑɫbini
albion,æɫbiən
albums,æɫbəmz
albums,æɫbəmz
albury,æɫbɛɹi
alcala,ɑɫkɑɫə
alcans,æɫkænz
alcasa,æɫkɑsə
alcide,æɫsaɪd
alcids,æɫsɪdz
alcorn,ɑɫkɔɹn
alcove,æɫkoʊv
aldama,ɑɫdɑmə
aldana,ɑɫdænə
aldila,æɫdɪɫə
aldora,ɑɫdɔɹə
aldred,ɔɫdɹɛd
aldric,æɫdɹɪk
aldric,ɔɫdɹɪk
aldrin,ɔɫdɹɪn
aldwin,ɔɫdwɪn
aldwyn,ɔɫdwɪn
alegre,ɑɫɛɡɹi
aleman,eɪɫmən
alenia,əɫiniə
aleria,əɫiɹiə
aleron,ɑɫɛɹɔn
alessi,əɫeɪsi
alfins,æɫfɪnz
algata,æɫɡɑtə
alices,æɫəsəz
alicea,əɫɪsiə
alices,æɫəsəz
aligns,əɫaɪnz
alihan,æɫɪhæn
alikes,əɫaɪks
alines,əɫaɪnz
alisky,əɫɪski
alizac,æɫɪzæk
alkema,æɫkɪmə
alkire,əɫkaɪɹ
allais,eɪɫiəs
alleco,æɫɛkoʊ
alleva,ɑɫeɪvə
almada,ɑɫmɑdə
almand,æɫmənd
almasy,æɫməsi
almira,ɑɫmɪɹə
aloisa,ɑɫɔɪsə
aloisi,ɑɫɔɪsi
alomar,æɫəmɑɹ
alonge,æɫəndʒ
alonza,əɫɑnzə
alpaca,æɫpækə
alpine,æɫpaɪn
alston,ɔɫstən
alteon,ɑɫtiɔn
altera,ɔɫtɛɹə
altima,ɑɫtɪmə
altman,ɔɫtmən
altoid,ɑɫtɔɪd
altron,ɔɫtɹɑn
alumna,əɫəmnə
alvare,æɫveɪɹ
alvita,ɑɫvitə
alvite,æɫvaɪt
alvord,æɫvɔɹd
always,ɔɫweɪz
alwine,æɫwaɪn
alzena,ɑɫzɛnə
amabel,æməbɛɫ
amadea,ɑmɑdiə
amadon,ɑmɑdɔn
amador,æmədɔɹ
amaker,æmeɪkɝ
amalea,æməɫiə
amalya,əmɑɫjə
amante,ɑmɑnti
amaral,ɑmɑɹæɫ
amason,æməsən
amatil,æmətɪɫ
amazed,əmeɪzd
amazon,æməzɑn
ambase,æmbeɪs
ambien,æmbiɛn
ambled,æmbəɫd
ambles,æmbəɫz
amblin,æmbɫɪn
amborn,əmbɔɹn
ambrit,æmbɹɪt
ambriz,æmbɹɪz
