[1/100] - ptime: 15.89 loss_d: 1.365, loss_g: 0.728
[1/100] - ptime: 14.49 loss_d: 1.375, loss_g: 0.846
Word: abie  	Gen. IPA: kkkkk 	Real IPA: æbi
Word: aglow 	Gen. IPA: kkkkk 	Real IPA: əɡɫoʊ
Word: aikin 	Gen. IPA: kkkkk 	Real IPA: eɪkɪn
Word: ame   	Gen. IPA: kkkkk 	Real IPA: eɪm
Word: anast 	Gen. IPA: kkkkk 	Real IPA: ɑnɑst
Word: autos 	Gen. IPA: kkkkk 	Real IPA: ɔtoʊz
Word: awed  	Gen. IPA: kkkkk 	Real IPA: ɔd
Word: babas 	Gen. IPA: kkkkk 	Real IPA: bɑbəz
Word: baier 	Gen. IPA: kkkkk 	Real IPA: beɪɝ
Word: baz   	Gen. IPA: kkkkk 	Real IPA: bæz
Word: bein  	Gen. IPA: kkkkk 	Real IPA: biɪn
Word: betta 	Gen. IPA: kkkkk 	Real IPA: bɛtə
Word: bihl  	Gen. IPA: kkkkk 	Real IPA: bɪɫ
Word: brine 	Gen. IPA: kkkkk 	Real IPA: bɹaɪn
Word: broth 	Gen. IPA: kkkkk 	Real IPA: bɹɔθ
Word: bunch 	Gen. IPA: kkkkk 	Real IPA: bəntʃ
Word: ciel  	Gen. IPA: kkkkk 	Real IPA: siɫ
Word: comes 	Gen. IPA: kkkkk 	Real IPA: kəmz
Word: copp  	Gen. IPA: kkkkk 	Real IPA: kɑp
Word: cowl  	Gen. IPA: kkkkk 	Real IPA: kaʊɫ
Word: crary 	Gen. IPA: kkkkk 	Real IPA: kɝɛɹi
Word: dafoe 	Gen. IPA: kkkkk 	Real IPA: dæfoʊ
Word: dehm  	Gen. IPA: kkkkk 	Real IPA: dɛm
Word: delft 	Gen. IPA: kkkkk 	Real IPA: dɛɫft
Word: dicta 	Gen. IPA: kkkkk 	Real IPA: dɪktɑ
Word: doge  	Gen. IPA: kkkkk 	Real IPA: doʊdʒ
Word: erina 	Gen. IPA: kkkkk 	Real IPA: ɝinə
Word: every 	Gen. IPA: kkkkk 	Real IPA: ɛvɹi
Word: eyes  	Gen. IPA: kkkkk 	Real IPA: aɪz
Word: fiat  	Gen. IPA: kkkkk 	Real IPA: faɪæt
Word: fouhy 	Gen. IPA: kkkkk 	Real IPA: fui
