word,ipa
acquires,əkwaɪɝz
agnew,æɡnju
alfaro,ɑɫfɑɹoʊ
amenity,əmɛnəti
announced,ənaʊnst
areas,ɛɹiəz
askoldov,əskoʊɫdɑv
authier,ɔθiɝ
badges,bædʒɪz
baraff,bɑɹɑf
bathsheba,bæθʃibə
begelman,beɪɡəɫmən
bergum,bɝɡəm
biggs,bɪɡz
blattner,bɫætnɝ
bogucki,bəɡətski
bos,bɑs
branch,bɹæntʃ
brittler,bɹɪtɫɝ
budgets,bədʒɪts
burtons,bɝtənz
calif,kæɫɪf
caraveras,kɑɹəvɛɹəz
castillon,kæstɪɫɑn
certo,tʃɛɹtoʊ
cherts,tʃɝts
citrano,tʃitɹɑnoʊ
coaching,koʊtʃɪŋ
combes,koʊmz
contest,kəntɛst
cottam,kɑtəm
cresap,kɹɛsəp
cupit,kjupɪt
damocles,dæməkɫiz
deblock,dɛbɫək
delaura,dɛɫɔɹə
der,dɝ
dicicco,dɪsɪkoʊ
discussed,dɪskəst
dominate,dɑməneɪt
drechsel,dɹɛksəɫ
dumptruck,dəmptɹək
eberhardt,ɛbɝhɑɹt
elating,ɪɫeɪtɪŋ
enabling,ɛneɪbəɫɪŋ
eraser,iɹeɪsɝ
evermore,ɛvɝmɔɹ
faison,feɪzən
federally,fɛdɝəɫi
fifield,fɪfiɫd
flared,fɫɛɹd
foodways,fudweɪz
freaks,fɹiks
functions,fəŋkʃənz
gangi,ɡændʒi
gehret,ɡɛɹɪt
gilberg,ɡɪɫbɝɡ
glycomed,ɡɫaɪkoʊmd
gosnell,ɡɑsnəɫ
greever,ɡɹivɝ
guccio,ɡutʃioʊ
hadria,hædɹiə
handlers,hændəɫɝz
hassling,hæsəɫɪŋ
hehmeyer,hɛmaɪɹ
herminie,hɝmɪni
hirth,hɝθ
homonym,hɔmənɪm
howry,haʊɹi
husman,həsmən
impassion,ɪmpæʃən
insilco,ɪnsɪɫkoʊ
isikoff,ɪzəkɔf
jeanniot,dʒiniət
jugglers,dʒəɡəɫɝz
karoun,kɝun
kerman,kɝmən
kipling,kɪpɫɪŋ
knows,noʊz
kral,kɹæɫ
kyodo,kjoʊdoʊ
landfair,ɫændfɛɹ
laury,ɫɔɹi
lein,ɫin
liberto,ɫibɛɹtoʊ
lisabet,ɫɪsəbɛt
loong,ɫʊŋ
lundahl,ɫəndɑɫ
magid,mædʒɪd
mangling,mæŋɡɫɪŋ
marrone,mɑɹoʊni
maxy,mæksi
mcglothin,məɡɫɑθən
medulla,mɪduɫə
merten,mɝtən
mild,maɪɫd
mitchner,mɪtʃnɝ
montanans,mɑntænənz
mourner,mɔɹnɝ
musin,mjusɪn
naylor,neɪɫɝ
nexis,nɛksɪs
nonpluss,nɑnpɫəs
ocanas,oʊkænəz
okinawa,oʊkɪnɑwə
orloff,ɔɹɫɔf
overkill,oʊvɝkɪɫ
panties,pæntiz
patronage,pætɹənɪdʒ
pennings,pɛnɪŋz
pettinger,pɛtɪŋɝ
pilotless,paɪɫətɫəs
plock,pɫɑk
pontiff,pɑntɪf
predate,pɹideɪt
prody,poʊdi
pythons,paɪθɑnz
railbiker,ɹeɪɫbaɪkɝ
ravinous,ɹeɪvɪnɪs
redfern,ɹɛdfɝn
relman,ɹɛɫmən
resisted,ɹɪzɪstɪd
richart,ɹɪkhɑɹt
robbs,ɹɑbz
rosenbalm,ɹoʊzənbɑm
ruman,ɹumən
salay,sæɫeɪ
satires,sætaɪɝz
schlepp,ʃɫɛp
scovil,skoʊvəɫ
seide,saɪd
sevey,sɪveɪ
shevlin,ʃɛvɫɪn
sicilian,sɪsɪɫiən
sison,sɪsən
smack,smæk
sokol,soʊkəɫ
spaugh,spɔ
sputum,spjutəm
staunton,stɔntən
stocum,stoʊkəm
stuttgart,stutɡɑɹt
surles,sɔɹəɫz
szot,ʃɑt
tavares,tɑvɑɹɛs
tesler,tɛsəɫɝ
thriller,θɹɪɫɝ
tokkin,tɑkɪn
tracor,tɹɛkɝ
tropworld,tɹɑpwɝɫd
tuxedos,təksidoʊz
unhinged,ənhɪndʒd
utters,ətɝz
vax,væks
views,vjuz
voshell,vɑʃəɫ
warley,wɔɹɫi
weisfeld,waɪsfɛɫd
whining,waɪnɪŋ
wilbourn,wɪɫbɝn
wogoman,woʊɡoʊmən
wyly,waɪɫi
yummies,jəmiz
zirk,zɝk
