word,ipa
round,ɹaʊnd
aancor,ɑnkɔɹ
aaronsons,ɑɹənsənz
abacha,æbəkə
abalone,æbəɫoʊni
abarca,əbɑɹkə
abates,əbeɪts
abbe,æbeɪ
abc,eɪbisi
abdicate,æbdəkeɪt
abdominal,æbdɑmənəɫ
abduction,əbdəkʃən
abed,əbɛd
abelow,æbəɫoʊ
aberg,æbɝɡ
abert,æbɝt
abhorrent,æbhɔɹənt
abiolas,ɑbioʊɫəz
abkhazian,æbkɑziən
abler,eɪbəɫɝ
abner,æbnɝ
abohalima,æbəhəɫimə
abou,əbu
above,əbəv
abrahams,eɪbɹəhæmz
abramss,eɪbɹəmzɪz
abrego,ɑbɹɛɡoʊ
abruzzo,ɑbɹuzoʊ
absconds,æbskɑndz
abshier,æbʃiɝ
absolutes,æbsəɫuts
absolving,æbzɑɫvɪŋ
abstracts,æbstɹækts
abts,eɪbitiɛs
aburto,əbʊɹtoʊ
abusive,əbjusɪv
acampsia,əkæmpsjə
acceding,æksidɪŋ
accidents,æksədənts
acclaims,əkɫeɪmz
accolade,ækəɫeɪd
accompli,əkɑmpɫi
accors,ækɝz
accost,əkɔst
accounts,əkaʊnts
accurso,ɑkʊɹsoʊ
accusers,əkjuzɝz
acer,eɪsɝ
acetic,əsitɪk
acey,eɪsi
achene,əkin
achieved,ətʃivd
aching,eɪkɪŋ
acidosis,æsədoʊsəs
ackermann,ækɝmən
ackroyds,ækɹɔɪdz
acolyte,ækəɫaɪt
acquires,əkwaɪɝz
acquittal,əkwɪtəɫ
acri,ɑkɹi
acronym,ækɹənɪm
actavas,æktɑvəz
action,ækʃən
activator,æktəveɪtɝ
activists,æktɪvɪsts
actors,æktɝz
acuras,ækjɝəz
adagio,ədɑʒioʊ
adamczak,ɑdəmtʃæk
adamo,ɑdɑmoʊ
adapters,ədæptɝz
adaza,ədɑzə
addis,ɑdɪs
address,ədɹɛs
addwest,ædwɛst
adelizzi,ædəɫizi
adelson,ædəɫsən
adenosine,ədɛnəsin
aderholt,ædɝhoʊɫt
adherent,ədhɪɹənt
adid,ədɪd
adisq,eɪdɪsk
adjourned,ədʒɝnd
adjunct,ædʒəŋkt
adler,ædɫɝ
admirable,ædmɹəbəɫ
adobes,ədoʊbiz
adolphson,ædoʊɫfsən
adopter,ədɑptɝ
adorable,ədɔɹəbəɫ
adorned,ədɔɹnd
adrenalin,ədɹɛnəɫɪn
ads,ædz
